signup_week,0,1,2,3,4,5,6,7,8,9,10,11,12
2026-09-07,7,29,31,44,35,37,32,49,38,28,38,38,35
2026-09-14,16,45,53,72,52,60,63,55,61,54,52,60,0
2026-09-21,16,50,54,55,62,50,53,60,62,70,63,0,0
2026-09-28,16,56,59,67,61,61,52,49,53,88,0,0,0
2026-10-05,22,48,59,63,48,77,54,63,68,0,0,0,0
2026-10-12,18,73,58,66,68,71,71,78,0,0,0,0,0
2026-10-19,22,69,56,69,55,68,79,0,0,0,0,0,0
2026-10-26,22,43,60,55,50,74,0,0,0,0,0,0,0
2026-11-02,22,47,69,52,87,0,0,0,0,0,0,0,0
2026-11-09,23,69,74,96,0,0,0,0,0,0,0,0,0
2026-11-16,43,81,89,0,0,0,0,0,0,0,0,0,0
2026-11-23,29,112,0,0,0,0,0,0,0,0,0,0,0
2026-11-30,101,0,0,0,0,0,0,0,0,0,0,0,0
