signup_week,0,1,2,3,4,5,6,7,8,9,10,11,12
2026-09-07,4.8,27.1,25.9,20.5,21.1,24.1,29.5,28.3,30.1,29.5,21.7,25.9,33.7
2026-09-14,8.0,26.9,27.4,27.9,26.9,27.4,28.9,29.4,31.3,24.9,27.4,35.3,0.0
2026-09-21,7.1,29.9,29.9,33.5,24.9,28.4,29.9,28.9,26.4,29.9,33.5,0.0,0.0
2026-09-28,11.1,31.7,26.7,31.7,34.4,33.3,31.7,27.8,32.8,43.9,0.0,0.0,0.0
2026-10-05,4.9,22.7,35.0,33.5,28.6,29.6,34.0,32.0,39.9,0.0,0.0,0.0,0.0
2026-10-12,9.0,30.2,35.4,37.6,28.0,33.3,31.7,41.8,0.0,0.0,0.0,0.0,0.0
2026-10-19,7.7,30.8,36.9,33.8,34.9,25.1,41.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-26,5.7,27.6,32.8,30.7,37.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-02,14.8,41.5,39.8,36.9,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-09,8.5,30.3,46.0,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-16,10.6,39.9,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-23,18.8,69.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-30,51.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
