signup_week,0,1,2,3,4,5,6,7,8,9,10,11,12
2026-09-07,8,45,43,34,35,40,49,47,50,49,36,43,56
2026-09-14,16,54,55,56,54,55,58,59,63,50,55,71,0
2026-09-21,14,59,59,66,49,56,59,57,52,59,66,0,0
2026-09-28,20,57,48,57,62,60,57,50,59,79,0,0,0
2026-10-05,10,46,71,68,58,60,69,65,81,0,0,0,0
2026-10-12,17,57,67,71,53,63,60,79,0,0,0,0,0
2026-10-19,15,60,72,66,68,49,80,0,0,0,0,0,0
2026-10-26,11,53,63,59,71,73,0,0,0,0,0,0,0
2026-11-02,26,73,70,65,80,0,0,0,0,0,0,0,0
2026-11-09,18,64,97,99,0,0,0,0,0,0,0,0,0
2026-11-16,20,75,96,0,0,0,0,0,0,0,0,0,0
2026-11-23,35,130,0,0,0,0,0,0,0,0,0,0,0
2026-11-30,111,0,0,0,0,0,0,0,0,0,0,0,0
