product_id,category_id,category_name,product_name
P0001,CAT_FOOD_DRY,사료(건식),사료(건식) 상품 1
P0002,CAT_FOOD_DRY,사료(건식),사료(건식) 상품 2
P0003,CAT_FOOD_DRY,사료(건식),사료(건식) 상품 3
P0004,CAT_FOOD_DRY,사료(건식),사료(건식) 상품 4
P0005,CAT_FOOD_DRY,사료(건식),사료(건식) 상품 5
P0006,CAT_FOOD_DRY,사료(건식),사료(건식) 상품 6
P0007,CAT_FOOD_DRY,사료(건식),사료(건식) 상품 7
P0008,CAT_FOOD_DRY,사료(건식),사료(건식) 상품 8
P0009,CAT_FOOD_DRY,사료(건식),사료(건식) 상품 9
P0010,CAT_FOOD_DRY,사료(건식),사료(건식) 상품 10
P0011,CAT_FOOD_DRY,사료(건식),사료(건식) 상품 11
P0012,CAT_FOOD_DRY,사료(건식),사료(건식) 상품 12
P0013,CAT_FOOD_WET,사료(습식),사료(습식) 상품 1
P0014,CAT_FOOD_WET,사료(습식),사료(습식) 상품 2
P0015,CAT_FOOD_WET,사료(습식),사료(습식) 상품 3
P0016,CAT_FOOD_WET,사료(습식),사료(습식) 상품 4
P0017,CAT_FOOD_WET,사료(습식),사료(습식) 상품 5
P0018,CAT_FOOD_WET,사료(습식),사료(습식) 상품 6
P0019,CAT_FOOD_WET,사료(습식),사료(습식) 상품 7
P0020,CAT_FOOD_WET,사료(습식),사료(습식) 상품 8
P0021,CAT_FOOD_WET,사료(습식),사료(습식) 상품 9
P0022,CAT_FOOD_WET,사료(습식),사료(습식) 상품 10
P0023,CAT_FOOD_WET,사료(습식),사료(습식) 상품 11
P0024,CAT_FOOD_WET,사료(습식),사료(습식) 상품 12
P0025,CAT_SNACK,간식,간식 상품 1
P0026,CAT_SNACK,간식,간식 상품 2
P0027,CAT_SNACK,간식,간식 상품 3
P0028,CAT_SNACK,간식,간식 상품 4
P0029,CAT_SNACK,간식,간식 상품 5
P0030,CAT_SNACK,간식,간식 상품 6
P0031,CAT_SNACK,간식,간식 상품 7
P0032,CAT_SNACK,간식,간식 상품 8
P0033,CAT_SNACK,간식,간식 상품 9
P0034,CAT_SNACK,간식,간식 상품 10
P0035,CAT_SNACK,간식,간식 상품 11
P0036,CAT_SNACK,간식,간식 상품 12
P0037,CAT_SUPPLEMENT,영양제,영양제 상품 1
P0038,CAT_SUPPLEMENT,영양제,영양제 상품 2
P0039,CAT_SUPPLEMENT,영양제,영양제 상품 3
P0040,CAT_SUPPLEMENT,영양제,영양제 상품 4
P0041,CAT_SUPPLEMENT,영양제,영양제 상품 5
P0042,CAT_SUPPLEMENT,영양제,영양제 상품 6
P0043,CAT_SUPPLEMENT,영양제,영양제 상품 7
P0044,CAT_SUPPLEMENT,영양제,영양제 상품 8
P0045,CAT_SUPPLEMENT,영양제,영양제 상품 9
P0046,CAT_SUPPLEMENT,영양제,영양제 상품 10
P0047,CAT_SUPPLEMENT,영양제,영양제 상품 11
P0048,CAT_SUPPLEMENT,영양제,영양제 상품 12
P0049,CAT_GOODS,용품,용품 상품 1
P0050,CAT_GOODS,용품,용품 상품 2
P0051,CAT_GOODS,용품,용품 상품 3
P0052,CAT_GOODS,용품,용품 상품 4
P0053,CAT_GOODS,용품,용품 상품 5
P0054,CAT_GOODS,용품,용품 상품 6
P0055,CAT_GOODS,용품,용품 상품 7
P0056,CAT_GOODS,용품,용품 상품 8
P0057,CAT_GOODS,용품,용품 상품 9
P0058,CAT_GOODS,용품,용품 상품 10
P0059,CAT_GOODS,용품,용품 상품 11
P0060,CAT_GOODS,용품,용품 상품 12
