signup_week,0,1,2,3,4,5,6,7,8,9,10,11,12
2026-09-07,1,5,6,8,5,11,4,6,6,4,7,7,5
2026-09-14,3,11,7,7,6,5,6,6,7,4,6,8,0
2026-09-21,3,5,15,5,2,11,10,9,6,9,11,0,0
2026-09-28,2,12,12,7,12,7,7,13,8,17,0,0,0
2026-10-05,3,6,12,10,11,5,14,8,16,0,0,0,0
2026-10-12,1,5,11,15,8,7,13,15,0,0,0,0,0
2026-10-19,3,5,8,5,10,7,14,0,0,0,0,0,0
2026-10-26,5,9,20,12,5,9,0,0,0,0,0,0,0
2026-11-02,2,3,8,10,15,0,0,0,0,0,0,0,0
2026-11-09,2,8,11,16,0,0,0,0,0,0,0,0,0
2026-11-16,3,13,10,0,0,0,0,0,0,0,0,0,0
2026-11-23,6,15,0,0,0,0,0,0,0,0,0,0,0
2026-11-30,21,0,0,0,0,0,0,0,0,0,0,0,0
