signup_week,0,1,2,3,4,5,6,7,8,9,10,11,12
2026-09-07,0.6,1.7,0.0,1.2,1.2,0.6,0.0,0.0,0.6,0.0,0.6,0.6,0.6
2026-09-14,0.6,0.0,1.1,1.7,0.6,1.7,0.6,1.7,2.3,2.3,2.8,2.3,0.0
2026-09-21,0.0,0.5,2.0,1.0,1.0,1.0,2.5,1.0,0.5,0.5,1.0,0.0,0.0
2026-09-28,0.0,0.0,0.5,1.1,0.5,0.5,1.1,2.1,0.5,1.6,0.0,0.0,0.0
2026-10-05,0.0,0.5,0.5,0.0,1.0,1.0,1.5,2.0,1.0,0.0,0.0,0.0,0.0
2026-10-12,0.5,1.1,0.5,1.1,1.6,1.6,1.1,3.2,0.0,0.0,0.0,0.0,0.0
2026-10-19,0.0,1.0,1.0,0.5,2.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-26,0.5,1.4,0.5,1.9,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-02,0.5,1.1,2.1,2.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-09,0.5,2.4,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-16,0.0,2.8,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-23,0.6,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-30,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
