signup_week,0,1,2,3,4,5,6,7,8,9,10,11,12
2026-09-07,1,2,2,4,6,2,5,4,4,3,1,4,5
2026-09-14,1,7,8,7,7,4,7,9,5,5,4,6,0
2026-09-21,0,7,5,5,3,9,6,6,8,6,11,0,0
2026-09-28,1,7,10,6,6,8,10,8,6,12,0,0,0
2026-10-05,3,7,7,6,8,3,4,2,2,0,0,0,0
2026-10-12,1,5,2,9,7,6,8,16,0,0,0,0,0
2026-10-19,2,6,12,8,4,18,6,0,0,0,0,0,0
2026-10-26,1,5,9,5,12,7,0,0,0,0,0,0,0
2026-11-02,1,7,6,5,20,0,0,0,0,0,0,0,0
2026-11-09,4,7,11,16,0,0,0,0,0,0,0,0,0
2026-11-16,5,12,9,0,0,0,0,0,0,0,0,0,0
2026-11-23,2,28,0,0,0,0,0,0,0,0,0,0,0
2026-11-30,6,0,0,0,0,0,0,0,0,0,0,0,0
