가설,elapsed_week,A_num,A_den,A_rate,B_num,B_den,B_rate,P_A_better
가설1 구매전환율,0,96,9952,0.96,73,9937,0.73,96.1
가설1 구매전환율,1,119,7679,1.55,103,7704,1.34,86.5
가설1 구매전환율,2,108,6791,1.59,70,6623,1.06,99.7
가설1 구매전환율,3,94,5770,1.63,70,5661,1.24,96.0
가설1 구매전환율,4,65,5068,1.28,68,4892,1.39,32.0
가설1 구매전환율,5,65,4300,1.51,53,4276,1.24,86.0
가설1 구매전환율,6,62,3671,1.69,48,3631,1.32,90.0
가설1 구매전환율,7,44,3022,1.46,34,3054,1.11,88.3
가설1 구매전환율,8,44,2335,1.88,28,2296,1.22,96.6
가설1 구매전환율,9,27,1761,1.53,17,1658,1.03,90.3
가설1 구매전환율,10,20,1175,1.7,11,1197,0.92,95.1
가설1 구매전환율,11,10,643,1.56,9,647,1.39,59.3
가설1 구매전환율,12,1,172,0.58,3,155,1.94,15.6
가설2 추천클릭세션 CVR,0,47,4520,1.04,29,4439,0.65,97.7
가설2 추천클릭세션 CVR,1,63,3474,1.81,54,3519,1.53,81.8
가설2 추천클릭세션 CVR,2,50,3017,1.66,39,2967,1.31,86.0
가설2 추천클릭세션 CVR,3,47,2609,1.8,34,2562,1.33,91.3
가설2 추천클릭세션 CVR,4,40,2296,1.74,30,2255,1.33,87.0
가설2 추천클릭세션 CVR,5,37,1889,1.96,34,1887,1.8,63.7
가설2 추천클릭세션 CVR,6,33,1675,1.97,22,1654,1.33,92.5
가설2 추천클릭세션 CVR,7,23,1402,1.64,18,1337,1.35,73.4
가설2 추천클릭세션 CVR,8,24,1023,2.35,11,1042,1.06,98.8
가설2 추천클릭세션 CVR,9,17,808,2.1,7,718,0.97,95.9
가설2 추천클릭세션 CVR,10,10,554,1.81,4,548,0.73,94.0
가설2 추천클릭세션 CVR,11,5,293,1.71,4,279,1.43,59.3
가설2 추천클릭세션 CVR,12,1,77,1.3,2,62,3.23,23.4
가설3 반응입력완료율,0,6,61,9.84,3,42,7.14,65.1
가설3 반응입력완료율,1,21,116,18.1,15,113,13.27,83.9
가설3 반응입력완료율,2,23,119,19.33,8,72,11.11,92.7
가설3 반응입력완료율,3,13,89,14.61,7,59,11.86,66.2
가설3 반응입력완료율,4,12,81,14.81,13,82,15.85,42.8
가설3 반응입력완료율,5,18,63,28.57,10,54,18.52,89.2
가설3 반응입력완료율,6,10,59,16.95,11,46,23.91,18.8
가설3 반응입력완료율,7,15,52,28.85,7,43,16.28,92.1
가설3 반응입력완료율,8,12,49,24.49,4,27,14.81,81.8
가설3 반응입력완료율,9,7,30,23.33,2,18,11.11,82.8
가설3 반응입력완료율,10,7,17,41.18,1,17,5.88,99.1
가설3 반응입력완료율,11,3,16,18.75,1,10,10.0,66.9
가설3 반응입력완료율,12,1,3,33.33,0,4,0.0,83.3
