가설,signup_week,A_num,A_den,A_rate,B_num,B_den,B_rate,P_A_better
가설1 구매전환율,2026-09-07,75,5180,1.45,43,5284,0.81,99.9
가설1 구매전환율,2026-09-14,76,5696,1.33,70,5958,1.17,78.1
가설1 구매전환율,2026-09-21,86,6238,1.38,66,5614,1.18,83.3
가설1 구매전환율,2026-09-28,98,5671,1.73,74,5527,1.34,95.2
가설1 구매전환율,2026-10-05,85,5127,1.66,42,4909,0.86,100.0
가설1 구매전환율,2026-10-12,75,4565,1.64,54,4864,1.11,98.7
가설1 구매전환율,2026-10-19,52,4222,1.23,57,4060,1.4,24.6
가설1 구매전환율,2026-10-26,62,3893,1.59,40,3635,1.1,96.7
가설1 구매전환율,2026-11-02,39,3399,1.15,39,3184,1.22,38.5
가설1 구매전환율,2026-11-09,37,2802,1.32,38,3135,1.21,64.8
가설1 구매전환율,2026-11-16,27,2477,1.09,26,2329,1.12,46.2
가설1 구매전환율,2026-11-23,22,1852,1.19,32,1978,1.62,13.2
가설1 구매전환율,2026-11-30,21,1217,1.73,6,1254,0.48,99.9
가설2 추천클릭세션 CVR,2026-09-07,40,2354,1.7,21,2365,0.89,99.3
가설2 추천클릭세션 CVR,2026-09-14,39,2603,1.5,38,2707,1.4,61.2
가설2 추천클릭세션 CVR,2026-09-21,44,2835,1.55,30,2556,1.17,88.2
가설2 추천클릭세션 CVR,2026-09-28,49,2564,1.91,34,2493,1.36,93.6
가설2 추천클릭세션 CVR,2026-10-05,55,2331,2.36,28,2220,1.26,99.7
가설2 추천클릭세션 CVR,2026-10-12,39,2022,1.93,27,2187,1.23,96.4
가설2 추천클릭세션 CVR,2026-10-19,28,1858,1.51,31,1820,1.7,31.9
가설2 추천클릭세션 CVR,2026-10-26,33,1743,1.89,17,1638,1.04,98.0
가설2 추천클릭세션 CVR,2026-11-02,18,1563,1.15,24,1434,1.67,11.3
가설2 추천클릭세션 CVR,2026-11-09,14,1262,1.11,15,1398,1.07,54.0
가설2 추천클릭세션 CVR,2026-11-16,13,1129,1.15,9,1003,0.9,70.7
가설2 추천클릭세션 CVR,2026-11-23,8,818,0.98,13,896,1.45,19.6
가설2 추천클릭세션 CVR,2026-11-30,17,555,3.06,1,552,0.18,100.0
가설3 반응입력완료율,2026-09-07,14,75,18.67,7,43,16.28,60.2
가설3 반응입력완료율,2026-09-14,15,76,19.74,6,70,8.57,97.1
가설3 반응입력완료율,2026-09-21,19,86,22.09,13,66,19.7,63.1
가설3 반응입력완료율,2026-09-28,17,98,17.35,18,74,24.32,13.0
가설3 반응입력완료율,2026-10-05,23,85,27.06,9,42,21.43,73.7
가설3 반응입력완료율,2026-10-12,19,75,25.33,6,54,11.11,97.7
가설3 반응입력완료율,2026-10-19,9,52,17.31,5,57,8.77,90.4
가설3 반응입력완료율,2026-10-26,11,62,17.74,3,40,7.5,91.9
가설3 반응입력완료율,2026-11-02,6,39,15.38,4,39,10.26,74.0
가설3 반응입력완료율,2026-11-09,5,37,13.51,6,38,15.79,39.5
가설3 반응입력완료율,2026-11-16,4,27,14.81,2,26,7.69,77.5
가설3 반응입력완료율,2026-11-23,4,22,18.18,1,32,3.12,96.2
가설3 반응입력완료율,2026-11-30,2,21,9.52,2,6,33.33,7.4
