product_id,ingredient_code,allergen_group,ingredient_order
P0001,SALMON,FISH,1
P0001,CHICKEN_MEAT,CHICKEN,2
P0001,POTATO,POTATO,3
P0002,HYDRO_CHICKEN,CHICKEN,1
P0002,RICE,RICE,2
P0002,CORN,CORN,3
P0003,CHICKEN_MEAT,CHICKEN,1
P0003,CORN,CORN,2
P0004,VENISON,VENISON,1
P0004,CORN,CORN,2
P0005,SALMON,FISH,1
P0005,SWEET_POTATO,,2
P0006,BEEF_MEAT,BEEF,1
P0006,CORN,CORN,2
P0007,SALMON,FISH,1
P0007,CORN,CORN,2
P0007,OAT,OAT,3
P0008,BEEF_MEAT,BEEF,1
P0008,RICE,RICE,2
P0008,PEA,,3
P0009,DUCK_MEAT,DUCK,1
P0009,LAMB_MEAT,LAMB,2
P0009,WHEAT,WHEAT,3
P0009,RICE,RICE,4
P0010,BEEF_MEAT,BEEF,1
P0010,OAT,OAT,2
P0011,INSECT,INSECT,1
P0011,OAT,OAT,2
P0011,WHEAT,WHEAT,3
P0012,PORK_MEAT,PORK,1
P0012,VENISON,VENISON,2
P0012,RICE,RICE,3
P0013,BEEF_MEAT,BEEF,1
P0013,PEA,,2
P0013,CORN,CORN,3
P0014,DUCK_MEAT,DUCK,1
P0014,CHICKEN_MEAT,CHICKEN,2
P0014,RICE,RICE,3
P0014,PEA,,4
P0015,TUNA,FISH,1
P0015,CORN,CORN,2
P0015,WHEAT,WHEAT,3
P0016,PORK_MEAT,PORK,1
P0016,LAMB_MEAT,LAMB,2
P0016,WHEAT,WHEAT,3
P0017,VENISON,VENISON,1
P0017,OAT,OAT,2
P0018,TUNA,FISH,1
P0018,PORK_MEAT,PORK,2
P0018,CORN,CORN,3
P0019,PORK_MEAT,PORK,1
P0019,CORN,CORN,2
P0019,SWEET_POTATO,,3
P0020,TUNA,FISH,1
P0020,PEA,,2
P0020,POTATO,POTATO,3
P0021,TURKEY_MEAT,TURKEY,1
P0021,OAT,OAT,2
P0021,POTATO,POTATO,3
P0022,TUNA,FISH,1
P0022,SWEET_POTATO,,2
P0022,CORN,CORN,3
P0023,LAMB_MEAT,LAMB,1
P0023,CHICKEN_MEAT,CHICKEN,2
P0023,SWEET_POTATO,,3
P0023,CORN,CORN,4
P0024,CHICKEN_MEAT,CHICKEN,1
P0024,VENISON,VENISON,2
P0024,CORN,CORN,3
P0025,CHICKEN_MEAT,CHICKEN,1
P0025,RICE,RICE,2
P0026,BEEF_MEAT,BEEF,1
P0026,PEA,,2
P0026,POTATO,POTATO,3
P0027,CHICKEN_MEAT,CHICKEN,1
P0027,WHEAT,WHEAT,2
P0028,DUCK_MEAT,DUCK,1
P0028,WHEAT,WHEAT,2
P0028,RICE,RICE,3
P0029,TURKEY_MEAT,TURKEY,1
P0029,INSECT,INSECT,2
P0029,PEA,,3
P0029,POTATO,POTATO,4
P0030,CHICKEN_MEAT,CHICKEN,1
P0030,WHEAT,WHEAT,2
P0030,WHEY,DAIRY,3
P0031,LAMB_MEAT,LAMB,1
P0031,CHICKEN_MEAT,CHICKEN,2
P0031,CORN,CORN,3
P0032,TURKEY_MEAT,TURKEY,1
P0032,CORN,CORN,2
P0054,DUCK_MEAT,DUCK,1
P0054,TURKEY_MEAT,TURKEY,2
P0054,POTATO,POTATO,3
P0054,OAT,OAT,4
P0054,WHEY,DAIRY,5
P0055,SALMON,FISH,1
P0055,POTATO,POTATO,2
P0056,CHICKEN_MEAT,CHICKEN,1
P0056,SWEET_POTATO,,2
P0056,SOYBEAN,SOY,3
P0057,TUNA,FISH,1
P0057,RICE,RICE,2
P0057,POTATO,POTATO,3
P0058,BEEF_MEAT,BEEF,1
P0058,RICE,RICE,2
P0058,OAT,OAT,3
P0059,VENISON,VENISON,1
P0059,PEA,,2
P0059,EGG,EGG,3
P0060,TURKEY_MEAT,TURKEY,1
P0060,TUNA,FISH,2
P0060,SWEET_POTATO,,3
P0061,BEEF_MEAT,BEEF,1
P0061,RICE,RICE,2
P0062,CHICKEN_MEAT,CHICKEN,1
P0062,TURKEY_MEAT,TURKEY,2
P0062,OAT,OAT,3
P0062,PEA,,4
P0063,TURKEY_MEAT,TURKEY,1
P0063,BEEF_MEAT,BEEF,2
P0063,CORN,CORN,3
P0064,TURKEY_MEAT,TURKEY,1
P0064,OAT,OAT,2
P0064,EGG,EGG,3
P0065,TURKEY_MEAT,TURKEY,1
P0065,TUNA,FISH,2
P0065,SWEET_POTATO,,3
P0066,PORK_MEAT,PORK,1
P0066,TUNA,FISH,2
P0066,POTATO,POTATO,3
P0067,TUNA,FISH,1
P0067,WHEAT,WHEAT,2
P0068,BEEF_MEAT,BEEF,1
P0068,PEA,,2
P0069,DUCK_MEAT,DUCK,1
P0069,PORK_MEAT,PORK,2
P0069,WHEAT,WHEAT,3
P0069,SWEET_POTATO,,4
P0070,VENISON,VENISON,1
P0070,POTATO,POTATO,2
P0071,VENISON,VENISON,1
P0071,OAT,OAT,2
P0072,TURKEY_MEAT,TURKEY,1
P0072,PORK_MEAT,PORK,2
P0072,POTATO,POTATO,3
P0073,LAMB_MEAT,LAMB,1
P0073,POTATO,POTATO,2
P0074,TURKEY_MEAT,TURKEY,1
P0074,TUNA,FISH,2
P0074,OAT,OAT,3
P0075,TUNA,FISH,1
P0075,PORK_MEAT,PORK,2
P0075,PEA,,3
P0076,TUNA,FISH,1
P0076,SWEET_POTATO,,2
P0076,OAT,OAT,3
P0077,VENISON,VENISON,1
P0077,SWEET_POTATO,,2
P0078,INSECT,INSECT,1
P0078,POTATO,POTATO,2
P0078,WHEAT,WHEAT,3
P0079,LAMB_MEAT,LAMB,1
P0079,VENISON,VENISON,2
P0079,PEA,,3
P0079,POTATO,POTATO,4
