product_id,category_code,subcategory_code,product_name,species,function_code,price_krw,rating,allergen_groups
P0001,FOOD,DRY_FOOD,건식 사료 상품 1,dog/cat,IMMUNE,24997,3.6,"CHICKEN,FISH,POTATO"
P0002,FOOD,DRY_FOOD,건식 사료 상품 2,dog/cat,HYPOALLERGENIC,19242,4.8,"CHICKEN,CORN,RICE"
P0003,FOOD,DRY_FOOD,건식 사료 상품 3,dog/cat,GENERAL,60000,3.2,"CHICKEN,CORN"
P0004,FOOD,DRY_FOOD,건식 사료 상품 4,dog/cat,GENERAL,20176,3.5,"CORN,VENISON"
P0005,FOOD,WET_FOOD,습식 사료 상품 1,dog/cat,GENERAL,28884,3.5,FISH
P0006,FOOD,WET_FOOD,습식 사료 상품 2,dog/cat,GENERAL,17565,4.4,"BEEF,CORN"
P0007,FOOD,WET_FOOD,습식 사료 상품 3,dog/cat,HAIRBALL,10975,4.0,"CORN,FISH,OAT"
P0008,FOOD,WET_FOOD,습식 사료 상품 4,dog/cat,IMMUNE,29937,3.3,"BEEF,RICE"
P0009,FOOD,FREEZE_DRIED_FOOD,동결건조 사료 상품 1,dog/cat,GENERAL,25723,4.7,"DUCK,LAMB,RICE,WHEAT"
P0010,FOOD,FREEZE_DRIED_FOOD,동결건조 사료 상품 2,dog/cat,GENERAL,31305,3.4,"BEEF,OAT"
P0011,FOOD,FREEZE_DRIED_FOOD,동결건조 사료 상품 3,dog/cat,GENERAL,17203,4.9,"INSECT,OAT,WHEAT"
P0012,FOOD,FREEZE_DRIED_FOOD,동결건조 사료 상품 4,dog/cat,GENERAL,34707,3.2,"PORK,RICE,VENISON"
P0013,FOOD,BAKED_FOOD,베이크드 사료 상품 1,dog/cat,RESPIRATORY,28235,3.3,"BEEF,CORN"
P0014,FOOD,BAKED_FOOD,베이크드 사료 상품 2,dog/cat,HEART,43714,5.0,"CHICKEN,DUCK,RICE"
P0015,FOOD,BAKED_FOOD,베이크드 사료 상품 3,dog/cat,GENERAL,18931,2.2,"CORN,FISH,WHEAT"
P0016,FOOD,BAKED_FOOD,베이크드 사료 상품 4,dog/cat,GENERAL,33380,3.1,"LAMB,PORK,WHEAT"
P0017,FOOD,AIR_DRIED_FOOD,에어드라이 사료 상품 1,dog/cat,STRESS_CALMING,34668,4.1,"OAT,VENISON"
P0018,FOOD,AIR_DRIED_FOOD,에어드라이 사료 상품 2,dog/cat,GENERAL,60000,5.0,"CORN,FISH,PORK"
P0019,FOOD,AIR_DRIED_FOOD,에어드라이 사료 상품 3,dog/cat,GENERAL,14034,4.1,"CORN,PORK"
P0020,FOOD,AIR_DRIED_FOOD,에어드라이 사료 상품 4,dog/cat,GENERAL,24651,4.5,"FISH,POTATO"
P0021,FOOD,RAW_FOOD,생식 사료 상품 1,dog/cat,GENERAL,15298,4.3,"OAT,POTATO,TURKEY"
P0022,FOOD,RAW_FOOD,생식 사료 상품 2,dog/cat,GENERAL,10000,3.2,"CORN,FISH"
P0023,FOOD,RAW_FOOD,생식 사료 상품 3,dog/cat,GENERAL,37812,4.8,"CHICKEN,CORN,LAMB"
P0024,FOOD,RAW_FOOD,생식 사료 상품 4,dog/cat,HEART,15674,4.4,"CHICKEN,CORN,VENISON"
P0025,FOOD,COOKED_FOOD,화식/조리식 사료 상품 1,dog/cat,RESPIRATORY,14181,4.6,"CHICKEN,RICE"
P0026,FOOD,COOKED_FOOD,화식/조리식 사료 상품 2,dog/cat,GENERAL,16598,5.0,"BEEF,POTATO"
P0027,FOOD,COOKED_FOOD,화식/조리식 사료 상품 3,dog/cat,GENERAL,18365,5.0,"CHICKEN,WHEAT"
P0028,FOOD,COOKED_FOOD,화식/조리식 사료 상품 4,dog/cat,GENERAL,16816,3.9,"DUCK,RICE,WHEAT"
P0029,FOOD,SEMI_MOIST_FOOD,반습식 사료 상품 1,dog/cat,GENERAL,39665,3.4,"INSECT,POTATO,TURKEY"
P0030,FOOD,SEMI_MOIST_FOOD,반습식 사료 상품 2,dog/cat,URINARY,10000,5.0,"CHICKEN,DAIRY,WHEAT"
P0031,FOOD,SEMI_MOIST_FOOD,반습식 사료 상품 3,dog/cat,GENERAL,21402,3.9,"CHICKEN,CORN,LAMB"
P0032,FOOD,SEMI_MOIST_FOOD,반습식 사료 상품 4,dog/cat,COGNITIVE,15995,5.0,"CORN,TURKEY"
P0033,SUPPLEMENT,POWDER_SUPPLEMENT,파우더형 영양제 상품 1,dog/cat,URINARY,33389,3.9,
P0034,SUPPLEMENT,POWDER_SUPPLEMENT,파우더형 영양제 상품 2,dog/cat,SKIN_COAT,24077,4.4,
P0035,SUPPLEMENT,POWDER_SUPPLEMENT,파우더형 영양제 상품 3,dog/cat,IMMUNE,40000,4.5,
P0036,SUPPLEMENT,LIQUID_SUPPLEMENT,액상형 영양제 상품 1,dog/cat,HEART,27037,4.4,
P0037,SUPPLEMENT,LIQUID_SUPPLEMENT,액상형 영양제 상품 2,dog/cat,COGNITIVE,36033,5.0,
P0038,SUPPLEMENT,LIQUID_SUPPLEMENT,액상형 영양제 상품 3,dog/cat,LIVER,34170,3.2,
P0039,SUPPLEMENT,CHEWABLE_SUPPLEMENT,츄어블형 영양제 상품 1,dog/cat,HEART,24463,4.8,
P0040,SUPPLEMENT,CHEWABLE_SUPPLEMENT,츄어블형 영양제 상품 2,dog/cat,IMMUNE,36535,4.3,
P0041,SUPPLEMENT,CHEWABLE_SUPPLEMENT,츄어블형 영양제 상품 3,dog/cat,JOINT,33591,4.3,
P0042,SUPPLEMENT,TABLET_SUPPLEMENT,정제형 영양제 상품 1,dog/cat,LIVER,38834,4.9,
P0043,SUPPLEMENT,TABLET_SUPPLEMENT,정제형 영양제 상품 2,dog/cat,HYPOALLERGENIC,29306,4.0,
