product_id,nutrient_code,unit,value
P0001,CRUDE_PROTEIN,%,29.9
P0001,CRUDE_FAT,%,11.0
P0001,MOISTURE,%,8.4
P0001,CRUDE_FIBER,%,2.6
P0001,ENERGY,kcal/100g,414.0
P0001,CALCIUM,%,1.44
P0001,PHOSPHORUS,%,1.18
P0001,SODIUM,%,0.38
P0001,TAURINE,mg,418.0
P0001,BETA_GLUCAN,mg,87.64
P0001,VITAMIN_E,mg,14.47
P0002,CRUDE_PROTEIN,%,31.7
P0002,CRUDE_FAT,%,17.1
P0002,MOISTURE,%,9.3
P0002,CRUDE_FIBER,%,2.1
P0002,ENERGY,kcal/100g,377.0
P0002,CALCIUM,%,0.84
P0002,PHOSPHORUS,%,0.71
P0002,SODIUM,%,0.47
P0002,TAURINE,mg,1143.0
P0002,CRUDE_PROTEIN,%,25.74
P0003,CRUDE_PROTEIN,%,26.8
P0003,CRUDE_FAT,%,11.8
P0003,MOISTURE,%,9.0
P0003,CRUDE_FIBER,%,2.8
P0003,ENERGY,kcal/100g,407.0
P0003,CALCIUM,%,1.5
P0003,PHOSPHORUS,%,0.82
P0003,SODIUM,%,0.53
P0003,TAURINE,mg,1227.0
P0003,VITAMIN_A,IU,4324.87
P0003,VITAMIN_E,mg,24.42
P0003,ZINC,mg,22.06
P0004,CRUDE_PROTEIN,%,29.1
P0004,CRUDE_FAT,%,16.2
P0004,MOISTURE,%,8.4
P0004,CRUDE_FIBER,%,3.2
P0004,ENERGY,kcal/100g,351.0
P0004,CALCIUM,%,0.91
P0004,PHOSPHORUS,%,1.07
P0004,SODIUM,%,0.39
P0004,TAURINE,mg,891.0
P0004,VITAMIN_A,IU,6589.99
P0004,VITAMIN_E,mg,41.74
P0004,ZINC,mg,18.84
P0005,CRUDE_PROTEIN,%,9.0
P0005,CRUDE_FAT,%,7.3
P0005,MOISTURE,%,76.6
P0005,CRUDE_FIBER,%,0.6
P0005,ENERGY,kcal/100g,81.0
P0005,CALCIUM,%,1.09
P0005,PHOSPHORUS,%,1.06
P0005,SODIUM,%,0.42
P0005,TAURINE,mg,1197.0
P0005,VITAMIN_A,IU,5985.88
P0005,VITAMIN_E,mg,30.32
P0005,ZINC,mg,25.35
P0006,CRUDE_PROTEIN,%,7.8
P0006,CRUDE_FAT,%,5.5
P0006,MOISTURE,%,76.1
P0006,CRUDE_FIBER,%,1.5
P0006,ENERGY,kcal/100g,88.0
P0006,CALCIUM,%,1.18
P0006,PHOSPHORUS,%,0.81
P0006,SODIUM,%,0.45
P0006,TAURINE,mg,607.0
P0006,VITAMIN_A,IU,2525.9
P0006,VITAMIN_E,mg,15.9
P0006,ZINC,mg,29.05
P0007,CRUDE_PROTEIN,%,9.2
P0007,CRUDE_FAT,%,4.4
P0007,MOISTURE,%,75.7
P0007,CRUDE_FIBER,%,1.9
P0007,ENERGY,kcal/100g,88.0
P0007,CALCIUM,%,1.0
P0007,PHOSPHORUS,%,0.81
P0007,SODIUM,%,0.43
P0007,TAURINE,mg,347.0
P0007,CRUDE_FIBER,%,9.14
P0007,PROBIOTICS,CFU,379501245.39
P0008,CRUDE_PROTEIN,%,7.2
P0008,CRUDE_FAT,%,5.5
P0008,MOISTURE,%,77.3
P0008,CRUDE_FIBER,%,0.7
P0008,ENERGY,kcal/100g,74.0
P0008,CALCIUM,%,1.39
P0008,PHOSPHORUS,%,0.72
P0008,SODIUM,%,0.57
P0008,TAURINE,mg,913.0
P0008,BETA_GLUCAN,mg,58.56
P0008,VITAMIN_E,mg,51.36
P0009,CRUDE_PROTEIN,%,47.0
P0009,CRUDE_FAT,%,22.4
P0009,MOISTURE,%,4.4
P0009,CRUDE_FIBER,%,1.5
P0009,ENERGY,kcal/100g,440.0
P0009,CALCIUM,%,1.32
P0009,PHOSPHORUS,%,0.91
P0009,SODIUM,%,0.21
P0009,TAURINE,mg,1257.0
P0009,VITAMIN_A,IU,7376.96
P0009,VITAMIN_E,mg,17.01
P0009,ZINC,mg,18.85
P0010,CRUDE_PROTEIN,%,44.3
P0010,CRUDE_FAT,%,16.4
P0010,MOISTURE,%,5.7
P0010,CRUDE_FIBER,%,1.5
P0010,ENERGY,kcal/100g,404.0
P0010,CALCIUM,%,1.35
P0010,PHOSPHORUS,%,0.86
P0010,SODIUM,%,0.53
P0010,TAURINE,mg,1232.0
P0010,VITAMIN_A,IU,3902.83
P0010,VITAMIN_E,mg,57.64
P0010,ZINC,mg,12.27
P0011,CRUDE_PROTEIN,%,47.9
P0011,CRUDE_FAT,%,26.6
P0011,MOISTURE,%,5.2
P0011,CRUDE_FIBER,%,2.8
P0011,ENERGY,kcal/100g,507.0
P0011,CALCIUM,%,1.32
P0011,PHOSPHORUS,%,0.82
P0011,SODIUM,%,0.51
P0011,TAURINE,mg,1026.0
P0011,VITAMIN_A,IU,4241.95
P0011,VITAMIN_E,mg,14.72
P0011,ZINC,mg,23.67
P0012,CRUDE_PROTEIN,%,34.9
P0012,CRUDE_FAT,%,22.8
P0012,MOISTURE,%,5.6
P0012,CRUDE_FIBER,%,1.4
P0012,ENERGY,kcal/100g,437.0
P0012,CALCIUM,%,1.58
P0012,PHOSPHORUS,%,1.28
P0012,SODIUM,%,0.4
P0012,TAURINE,mg,301.0
P0012,VITAMIN_A,IU,2083.62
P0012,VITAMIN_E,mg,21.48
P0012,ZINC,mg,8.3
P0013,CRUDE_PROTEIN,%,28.4
P0013,CRUDE_FAT,%,14.3
P0013,MOISTURE,%,13.0
P0013,CRUDE_FIBER,%,1.8
P0013,ENERGY,kcal/100g,339.0
P0013,CALCIUM,%,1.73
P0013,PHOSPHORUS,%,0.88
P0013,SODIUM,%,0.32
P0013,TAURINE,mg,784.0
P0013,L_LYSINE,mg,696.58
P0014,CRUDE_PROTEIN,%,25.4
P0014,CRUDE_FAT,%,15.8
P0014,MOISTURE,%,12.4
P0014,CRUDE_FIBER,%,3.8
P0014,ENERGY,kcal/100g,386.0
P0014,CALCIUM,%,1.27
P0014,PHOSPHORUS,%,1.15
P0014,SODIUM,%,0.21
P0014,TAURINE,mg,253.0
P0014,COQ10,mg,50.62
P0014,TAURINE,mg,1634.27
P0015,CRUDE_PROTEIN,%,25.0
P0015,CRUDE_FAT,%,12.6
P0015,MOISTURE,%,12.6
P0015,CRUDE_FIBER,%,3.7
P0015,ENERGY,kcal/100g,362.0
P0015,CALCIUM,%,1.05
P0015,PHOSPHORUS,%,0.77
P0015,SODIUM,%,0.5
P0015,TAURINE,mg,1243.0
P0015,VITAMIN_A,IU,2631.67
P0015,VITAMIN_E,mg,13.33
P0015,ZINC,mg,19.86
P0016,CRUDE_PROTEIN,%,24.3
P0016,CRUDE_FAT,%,10.9
P0016,MOISTURE,%,10.5
P0016,CRUDE_FIBER,%,1.6
P0016,ENERGY,kcal/100g,334.0
P0016,CALCIUM,%,0.97
P0016,PHOSPHORUS,%,0.64
P0016,SODIUM,%,0.44
P0016,TAURINE,mg,1053.0
P0016,VITAMIN_A,IU,4361.78
P0016,VITAMIN_E,mg,25.9
P0016,ZINC,mg,17.61
P0017,CRUDE_PROTEIN,%,30.5
P0017,CRUDE_FAT,%,18.6
P0017,MOISTURE,%,15.1
P0017,CRUDE_FIBER,%,1.1
P0017,ENERGY,kcal/100g,406.0
P0017,CALCIUM,%,1.32
P0017,PHOSPHORUS,%,0.67
P0017,SODIUM,%,0.53
P0017,TAURINE,mg,173.0
P0017,L_THEANINE,mg,139.48
P0018,CRUDE_PROTEIN,%,34.4
P0018,CRUDE_FAT,%,20.2
P0018,MOISTURE,%,13.7
P0018,CRUDE_FIBER,%,2.3
P0018,ENERGY,kcal/100g,416.0
P0018,CALCIUM,%,1.66
P0018,PHOSPHORUS,%,0.92
P0018,SODIUM,%,0.35
P0018,TAURINE,mg,995.0
P0018,VITAMIN_A,IU,3598.78
P0018,VITAMIN_E,mg,16.99
P0018,ZINC,mg,16.95
P0019,CRUDE_PROTEIN,%,34.9
P0019,CRUDE_FAT,%,16.4
P0019,MOISTURE,%,17.7
P0019,CRUDE_FIBER,%,3.3
P0019,ENERGY,kcal/100g,414.0
P0019,CALCIUM,%,1.13
P0019,PHOSPHORUS,%,0.97
P0019,SODIUM,%,0.54
P0019,TAURINE,mg,1014.0
P0019,VITAMIN_A,IU,6826.35
P0019,VITAMIN_E,mg,36.64
P0019,ZINC,mg,20.82
P0020,CRUDE_PROTEIN,%,34.1
P0020,CRUDE_FAT,%,14.8
P0020,MOISTURE,%,16.6
P0020,CRUDE_FIBER,%,1.2
P0020,ENERGY,kcal/100g,446.0
P0020,CALCIUM,%,0.94
P0020,PHOSPHORUS,%,1.27
P0020,SODIUM,%,0.52
P0020,TAURINE,mg,931.0
P0020,VITAMIN_A,IU,6695.74
P0020,VITAMIN_E,mg,49.76
P0020,ZINC,mg,28.65
P0021,CRUDE_PROTEIN,%,17.4
P0021,CRUDE_FAT,%,11.7
P0021,MOISTURE,%,70.2
P0021,CRUDE_FIBER,%,1.2
P0021,ENERGY,kcal/100g,206.0
P0021,CALCIUM,%,1.29
P0021,PHOSPHORUS,%,1.02
P0021,SODIUM,%,0.57
P0021,TAURINE,mg,268.0
P0021,VITAMIN_A,IU,2702.62
P0021,VITAMIN_E,mg,14.39
P0021,ZINC,mg,21.45
P0022,CRUDE_PROTEIN,%,15.6
P0022,CRUDE_FAT,%,10.9
P0022,MOISTURE,%,68.1
P0022,CRUDE_FIBER,%,0.5
P0022,ENERGY,kcal/100g,160.0
P0022,CALCIUM,%,1.74
P0022,PHOSPHORUS,%,0.91
P0022,SODIUM,%,0.35
P0022,TAURINE,mg,1122.0
P0022,VITAMIN_A,IU,5317.96
P0022,VITAMIN_E,mg,56.81
P0022,ZINC,mg,24.51
P0023,CRUDE_PROTEIN,%,17.8
