productId,Title,userId,Helpfulness,Score,Time,Text,Cat1,Cat2,Cat3
B00005OU62,"LitterMaid LM700 Self-Cleaning Automatic Litter Box, Sage and Cream",unknown,4/4,5.0,1019088000,"I thought the price was originally pretty steep but after using the litterbox for 2 1/2 years, it was well worth the price. It has improved the quality of life of not only my cat but of me. Yes, the litterbox can jam but that tends to be when I overfill the box. Yes, the litterbox can be noisy but we have resolved that issue by turning the box off at night. This litterbox gets rid of the odor associated with litterboxes. It also has cut down on my litter bills. One box of litter now goes a long way.",pet supplies,cats,litter housebreaking
B00005OU62,"LitterMaid LM700 Self-Cleaning Automatic Litter Box, Sage and Cream",A16EEOBMGQLEDP,1/2,2.0,1035676800,"I've owned one for 3 months and I have a love hate relationship with it. I like having box cleaned automatically, but it ends up being more work than it''s worth:-Litter gets everywhere because there is no cover that forms a tight seal (like other hooded boxes do). It also gets stuck in all of the cracks and grooves in the box.-Some of our cats dig holes before they go and the littermaid doesn't allow for much litter so they end up going on the plastic. When they scratch afterwards the ltter ends up sticking to the bottom of the box which the rake doesn't get. I end up having to scoop it everyday manually anyway.I'm hoping somebody else has come up with a better design, because I would be willing to pay more for a better box.",pet supplies,cats,litter housebreaking
B00005MF9T,LitterMaid LM500 Automated Litter Box,A2ADWNCCULZ7KR,43/56,2.0,1041724800,"We've got 6 cats, and bought one of these Littermaid boxes about two years ago. With this many cats, it doesn't take long for the box to jam up, and require manual scraping. It seems as if two cats use it in a row, before it has a chance to scrape after the first cat, you have a guaranteed jam.The box is very sensitive to the amount of litter you put in - just a touch too much and it won't be able to complete the sweep, and will keep trying over and over, annoying you to no end. Not enough litter and you have a hard mess to scrape off the plastic bottom.Maybe they should be lining these with some kind of teflon like a frying-pan has! We always keep a 4&quot; scraper next to the box and need to use it daily. What fun to clean out the &quot;teeth&quot; of the litter comb when the cat potties on them.The first box we had lasted just over a year before it's motor died.We replaced that one, reluctantly, with another by Littermaid, and now after about 7 months, somehow it managed to grab the wire in the &quot;teeth&quot; that provides power to the moving comb and when it got to the end to dump, it snapped the wire in half and stopped. For Good...I can fix darn-near anything, so I disassembled it with intentions of rewiring this part, but it seems they are using some special &quot;extra flexible&quot; wire that cannot be found at Home Depot or Radio Shack. They have this cheezy way of providing a retracting action of the wire with some spring steel and some plastic wheels.Anyway, now I have a second &quot;dead&quot; littermaid unit, and will likely have to buy yet a third one, since nobody else makes an automatic litterbox. Next time I will keep the warranty info someplace where I can find it!",pet supplies,cats,litter housebreaking
B00005MF9U,LitterMaid LM900 Mega Self-Cleaning Litter Box,unknown,1/2,5.0,1045094400,"We really love this item. We were especially happy once we purchased super fast clumping litter - our previous litter did not clump fast enough and the rake would get dirty. I suppose you could have just one but I hate the cats to compete.The cats still run to check the litter pan when it turns on after they have used it. It is pretty funny. Fortunately, it doesn't prevent them from using it.The cats (and the humans) like it with the tent you can buy.",pet supplies,cats,litter housebreaking
B00005MF9T,LitterMaid LM500 Automated Litter Box,unknown,16/22,1.0,1052092800,"Zero stars isn't an option so I had to give it one star and even that is totally undeserved. My husband thought this was a good idea when we got our 3rd cat. First, the entire unit with the tent attached was too large to fit in the corner where our old litterbox was kept. So we had to place it in our laundry room. The box itself was too small for my 15 & 12 pound cats to use comfortably use. The first few fork passes were great, but when the box became dirty and the litter got wet, the forks clogged and would simply sweep all the wet litter into a clump at the head of the box, so if that was allowed to dry (like it would when we were at work all day) we ended up with a huge rock at one end and almost no litter in the bottom of the box. If there was a lot of wet litter, it would become too heavy and the motor would stop in the middle of a sweep, getting it to work again involved having to clean it completely. The motor was SO noisy that we could hear it go on when we were all the way upstairs, the noise scared our new kitten so much, he refused to use it. Our most mischievious little feline devil discovered what he needed to do to turn the motor on and that became his favorite sport, he'd activate it and watch the rake go back and forth, so the lifespan of the batteries was about 3 days in our house. Our older cat, who's very fastidious, even for a cat, steadfastly refused to use it at all because it smelled. He'd simply go to the spot where the old box used to be and wail. I should point out that the smell was distributed throughout our home when the box was raking. We needed to replace the motor after only 3 weeks because the casing broke, its a complicated process that takes more time than it should since you're presummed to be without a litterbox when it occurs. Cleaning it was a bigger chore than a regular litterbox and took over half hour because you had to dismantle parts of it to clean it completely. The motor couldn't be submerged in water, so taking it to the backyard and hosing it down like I did my regular box wasn't an option, it was scrape, scrub, scrap, scrub, scrape, scrub, etc every 2 or 3 days. It was a disgusting and smelly job, and you'd end up with flecks of litter all over your shirt and FACE. My husband and I would actually argue about who got to clean the mess. Many times the rake would just scoop whatever litter wasn't stuck to the sides and head onto the floor, but since we had the tent, it was scooped inside the tent, so on a daily basis, that had to be dismantled and swept out, because if we didn't, one of the cats would squeeze between the box and tent to use the litter that was deposited there. They recommend that you use a more expensive litter, so it was more expensive to own and maintain, finding the little receptacles the box used was difficult, so we had to order them directly from the company, pay shipping and handling and then wait for it to arrive. They're supposed to be reusable, but believe me, THEY AREN'T!!! The service reps were rude and 1 even suggested that I get a seperate Littermaid for each cat. Needless to say, I told her where to go and cut my losses by dumping that ... into the trash where it belonged. Sometimes, simpler is truly better and I no longer complain about my old style litter box, its become my friend and I'm happy with that. If you value your sanity, you'll stay away from this product, its all hype with very little value.",pet supplies,cats,litter housebreaking
B0002IZ91K,Kyjen I-Qube Puzzle Plush Interactive Dog Toy,unknown,15/15,5.0,1056585600,"My dog absolutely loves this toy. It didn't take him long to figure out how to get the balls out of the cube and it never fails to excite him when they get put back in. The only drawback is that like any plush toy, this toy will wear down with a lot of chewing and use. However, I do think that it's held up well, considering the amount of use it's gotten.",pet supplies,dogs,toys
B00005MF9T,LitterMaid LM500 Automated Litter Box,AOWU1SSONBZZX,5/5,1.0,1062806400,"This was a great disappointment and a real waste of money. First, the rake is always jammed. We followed instructions and coated it with silicone spray, but it made NO difference. Once the rake gets clogged, dirty litter gets sprayed all over the floor when the unit trys to empty the tray. We tried everything to make this product work. We used 3 types of premium clumping litter, yet end up cleaning the pan by hand frequently each day. The rake needs to be cleaned everyday in order to keep the unit working. The end result is more dirty litter sprayed on the floor and more daily work than our old non-automated (hand cleaned) litter box. I'm cleaning this one today, and putting it on the pile of stuff to be sold at our next garage sell!",pet supplies,cats,litter housebreaking
B00005MF9U,LitterMaid LM900 Mega Self-Cleaning Litter Box,unknown,1/2,3.0,1063584000,"Whether or not this litterbox is for you (or your cats) is best determined by how clean you (and especially your cats) like their box. Yes it cleans itself. Sort of. All major clumps of cat waste are cleaned out. However, it leaves little tiny ones ALL over the place. So then you find yourself back in the same old dilemna - with your handy scoop trying to clean it out. Only, these pieces are so small, they go right through your scoop, making you spend a very long time trying to get the box clean and making your cats constantly shuffle the litter all around trying to find a clean place. Also, waste gets stuck in the rakes, which is pretty gross and not at all fun to clean. For some people (and cats) this might not be a problem. If its not, then this box might be for you. I myself wish I had my money back.",pet supplies,cats,litter housebreaking
B00005MF9U,LitterMaid LM900 Mega Self-Cleaning Litter Box,AOMNNHC9BDROU,2/4,1.0,1066435200,"I purchased this product and after three months the rake would not stop--according to the manufacturer, it was a dirty sensor. After cleaning everything, they instructed me to return the item for a new replacement. The replacement lasted one month. I give up!",pet supplies,cats,litter housebreaking
B00005MF9U,LitterMaid LM900 Mega Self-Cleaning Litter Box,A24FSR37TN4MSF,3/3,3.0,1067299200,"I've had my littermaid for about a year, and I must say, it's GREAT to have a litter box that cleans itself. Yes, as others have said, the rake gets gummed up, it gets kind of gross, etc. But, it really cuts down on the &quot;cat smell&quot;. Now for the other side",pet supplies,cats,litter housebreaking
