series_id,count,10%,50%,90%,p10_over_p50,p90_over_p50,cv
cat_litter,9449.0,13.68,18.91,49.39,0.723,2.612,0.801
cat_treats,9727.0,3.39,4.49,11.88,0.755,2.646,1.765
dog_shampoo,8803.0,4.76,13.59,39.75,0.35,2.925,0.807
dog_training_pads,9631.0,11.25,23.0,41.24,0.489,1.793,0.511
dog_treats,8763.0,5.88,17.35,39.88,0.339,2.299,1.054
dog_waste_bags,9663.0,5.62,8.49,17.98,0.662,2.118,1.257
dry_cat_food,11053.0,18.17,38.83,95.98,0.468,2.472,1.736
dry_dog_food,12658.0,14.25,33.81,80.98,0.421,2.395,1.154
litter_box_liners,9084.0,3.03,10.5,17.32,0.289,1.65,1.845
wet_cat_food,7658.0,0.45,0.95,1.78,0.474,1.874,0.706
wet_dog_food,8510.0,1.55,3.09,6.04,0.502,1.955,2.077
