order_id,product_id,quantity,unit_price,discount_percentage,discount_amount,gross_sales,tax_amount,shipping_cost,net_sales,product_cost,profit
ORD-939367,PROD-001107,3,243.3,0.1114735941878357,81.36,729.9,129.71,9.71,787.96,360.0,418.25
ORD-553726,PROD-000648,2,213.86,0.0965316397928368,41.29,427.72,27.05,15.27,428.75,271.8,141.68
ORD-409494,PROD-000173,5,125.41,0.1491270318425346,93.51,627.05,37.35,6.24,577.13,340.6,230.29
ORD-213600,PROD-000101,3,136.18,0.361703291303426,147.77,408.54,18.25,5.7,284.72,217.68,61.34
ORD-725354,PROD-000587,2,35.3,0.1374848570530519,9.71,70.6,12.18,1.9800000000000004,75.05,30.86,42.21
ORD-882994,PROD-001090,1,58.26,0.0945614223450906,5.51,58.26,3.69,3.11,59.55,23.72,32.72
ORD-147561,PROD-001049,1,30.54,0.0634040877062103,1.94,30.54,2.0,24.01,54.61,10.45,20.15
ORD-192218,PROD-001065,1,95.52,0.1744968390468458,16.67,95.52,5.52,6.18,90.55,31.68,52.69
ORD-912271,PROD-000814,1,46.99,0.0251890293071693,1.18,46.99,3.21,3.27,52.29,20.6,28.42
ORD-215916,PROD-000259,3,121.62,0.0601137836558759,21.93,364.86,24.01,1.09,368.03,123.12,243.82
ORD-314165,PROD-000359,3,395.27,0.0609265645527616,72.25,1185.81,77.95,5.92,1197.43,541.86,649.65
ORD-976774,PROD-000893,1,138.21,0.0916171956084162,12.66,138.21,8.79,15.28,149.62,43.87,90.47
ORD-185599,PROD-000321,2,46.88,0.1904906822321516,17.86,93.76,5.31,6.27,87.48,46.96,34.25
ORD-235142,PROD-000093,1,658.81,0.226345968157878,149.12,658.81,35.68,2.68,548.05,370.57,174.8
ORD-639945,PROD-000952,3,922.33,0.5200722935175305,1439.03,2766.99,92.96,0.2099999999999999,1421.13,1191.3,229.62
ORD-958821,PROD-000315,1,265.8,0.070271325938207,18.68,265.8,17.3,3.17,267.59,148.17,116.25
ORD-455598,PROD-000138,2,765.04,0.0496503400344674,75.97,1530.08,101.79,3.48,1559.38,975.66,580.24
ORD-603521,PROD-000036,3,524.08,0.4087173349284491,642.6,1572.24,65.07,5.97,1000.68,915.15,79.56
ORD-606068,PROD-000762,1,28.01,0.0,0.0,28.01,5.32,1.59,34.92,10.78,22.55
ORD-744720,PROD-000988,1,378.07,0.0713197111557777,26.96,378.07,17.56,8.21,376.88,189.29,179.38
ORD-461542,PROD-000488,3,55.59,0.2628374053109004,43.83,166.77,8.61,5.58,137.13,53.58,77.97
ORD-524706,PROD-000726,1,253.56,0.0987146828892888,25.03,253.56,45.71,5.19,279.43,106.45,167.79
ORD-986737,PROD-001174,1,71.13,0.0110734082393543,0.79,71.13,14.07,3.18,87.59,25.42,58.99
ORD-146249,PROD-001087,3,42.23,0.4778180229379727,60.53,126.69,13.23,16.68,96.07,60.03,19.36
ORD-413848,PROD-001092,1,55.89,0.0714408314563752,3.99,55.89,5.19,5.84,62.93,25.66,31.43
ORD-333294,PROD-001081,4,44.5,0.0334695386647915,5.96,178.0,12.04,20.58,204.66,63.6,120.48
ORD-837471,PROD-000072,2,491.55,0.137418622897205,135.1,983.1,169.6,5.17,1022.77,631.58,386.02
