timestamp,visitorid,event,itemid,transactionid
1430622026228,693516,view,297662,
1430622756884,1099963,view,432605,
1430622846246,907858,view,354233,
1430623253659,554308,view,312454,
1430623391830,185868,view,315545,
1430623868689,811827,view,464440,
1430623886468,1101684,view,279764,
1430623888297,569715,view,404151,
1430623936918,1369221,view,193203,
1430624283698,1314434,view,314942,
1430624461881,1096498,view,169866,
1430624687481,1323116,view,303791,
1430624849401,724234,view,142215,
1430624968951,834958,view,27847,
1430625001168,1235008,view,392722,
1430625259543,163463,view,30155,
1430625361179,1121074,view,379796,
1430625882289,988455,view,204494,
1430625885136,318793,view,44054,
1430626473283,461287,view,369447,
1430626742130,881958,view,397564,
1430626787140,778507,view,16920,
1430626858977,1227881,view,137144,
1430626860851,439333,view,4263,
1430627089932,614582,view,256827,
1430627109708,791768,view,241782,
1430627274956,1396972,view,205830,
1430627420151,831939,view,184442,
1430627762285,1395962,view,16352,
1430627847171,292018,view,51697,
1430627966781,981298,view,261464,
1430628276638,424083,view,6973,
1430628449018,872435,view,386100,
1430628743836,1112148,view,293458,
1430629026414,710158,view,298545,
1430629595002,219982,view,47707,
1430629804860,694848,view,287763,
1430630048326,1070439,view,320682,
1430630286438,1199764,view,256473,
1430630552151,4784,view,7722,
1430630786081,1192537,view,260830,
1430630810063,1037946,view,243566,
1430630944874,795921,view,301949,
1430631531156,1233513,view,58944,
1430631752621,304288,view,300134,
1430632001853,919065,view,402455,
1430632159100,1104247,view,262948,
1430632478869,76987,view,145504,
1430633613843,362144,view,156963,
1430633856432,1046781,view,241893,
1430634313945,1045152,addtocart,92466,
1430634888314,614999,transaction,343618,16434.0
1430635302729,1189153,view,43856,
1430636542835,413857,view,381080,
1430637517224,687758,view,340139,
1430639092122,417796,view,370077,
1430639361397,996991,view,58846,
1430639509399,227517,view,316472,
1430640046135,57217,view,455699,
1430642160777,917879,view,326799,
1430644243974,629215,view,227657,
1430648047896,13037,view,137143,
1430652244740,159810,view,429439,
1430652302111,796476,view,38483,
1430652667119,423949,view,412324,
1430653213539,156889,view,437910,
1430655382017,87979,view,396094,
1430655788697,51013,view,50613,
1430656733458,916068,view,397919,
1430659646316,337877,view,188177,
1430660250593,129881,view,105396,
1430661327879,8293,view,284455,
1430661618895,539686,view,43787,
1430661632806,805485,view,442431,
1430661880035,672686,view,276173,
1430663332765,150004,view,179906,
1430664451804,1222911,view,356363,
1430664921391,264902,view,277767,
1430665480842,634165,view,250375,
1430666047847,156845,view,241036,
1430666333353,369872,view,101660,
1430666732259,53842,view,12404,
1430667007468,1310382,view,375465,
1430667036185,954922,view,78318,
1430667095492,1016702,view,199769,
1430667124706,193277,view,167590,
1430668099258,1213593,view,274242,
1430668187982,1289247,view,223057,
1430668375297,1175623,view,466385,
1430668397642,53842,view,317436,
1430668476746,233688,view,309457,
1430668796702,710338,view,311405,
1430669116231,1155016,addtocart,249933,
1430669229152,85582,view,301013,
1430669350519,529959,view,440438,
1430669371487,327629,view,66974,
1430669648043,1084035,view,64152,
1430670195887,917146,view,302969,
1430671105875,368187,view,372146,
1430671280113,1348344,view,93367,
1430671382978,710338,view,86218,
1430671604591,98499,view,283971,
1430671610778,36076,view,133849,
1430671811265,37411,view,410099,
1430672127163,710338,view,306425,
1430672222892,986597,view,420118,
1430672415756,1184528,view,234261,
1430672892077,190672,view,259357,
1430672913589,1403712,view,156017,
1430673060420,190672,transaction,259357,12118.0
1430673262500,935206,view,376371,
1430673358710,710338,view,409511,
1430673720889,1073450,view,372561,
1430673921169,896348,view,186260,
1430674168824,86247,view,129490,
1430674204890,839901,view,80921,
1430674263162,915941,view,155580,
1430674707671,1205568,view,135675,
1430675310323,896348,view,193304,
1430675706416,86437,view,63451,
1430676030168,305378,view,393612,
1430676121882,171629,view,205893,
1430676374301,1058228,addtocart,362974,
1430676434048,899375,view,86348,
1430676460713,435969,view,124863,
1430676469169,1259118,view,347316,
1430676789423,472430,view,236141,
1430676814845,1235110,view,124568,
1430676897471,1299944,view,386092,
1430677147267,914130,view,7765,
1430677445544,740436,view,312076,
1430677799056,800068,view,453494,
1430677836677,53842,transaction,320130,6352.0
1430677994303,128125,view,331159,
1430678022899,186416,view,15857,
1430678196007,864015,view,203248,
1430678277455,1042384,addtocart,247109,
1430678335344,126867,view,302371,
1430678425903,260495,view,450351,
1430678430834,1042384,view,247109,
1430678878130,336113,view,155478,
1430678994760,1109102,view,377291,
1430678994956,163561,view,306086,
1430679048164,391066,view,180142,
1430679335227,550122,view,179749,
1430679757842,583514,addtocart,235549,
1430679811163,729380,view,300231,
1430680027168,930221,view,203248,
1430680193455,1313623,view,428891,
1430680257797,391066,view,377767,
1430680437678,1221009,view,323248,
1430680522763,53842,view,97811,
1430680562270,868322,view,120621,
1430680562364,649038,view,181102,
1430680809913,53842,view,371485,
1430681038092,53842,view,320130,
1430681398832,384076,view,180200,
1430681632012,35990,view,167844,
1430681779567,669121,view,441642,
1430681966533,639414,view,223242,
1430682048160,1260049,view,66903,
1430682207487,1183214,view,376101,
1430682229834,909486,view,324379,
1430682525614,167395,view,212652,
1430682882726,49886,view,159430,
1430682910516,623603,view,280240,
1430683355007,402597,view,78494,
1430683373536,768104,view,89710,
1430683657896,1215919,view,200527,
1430683766164,1108935,view,350750,
1430683950382,771203,view,250578,
1430684024982,815974,view,20734,
1430684206768,671425,view,267010,
1430684969020,872410,view,295186,
1430685244808,556451,view,274242,
1430685788772,691623,view,316140,
1430686192173,397363,view,257040,
1430686246912,557144,view,395843,
1430686355514,915989,view,227781,
1430686644242,163561,view,318881,
1430686660545,326517,view,92637,
1430687011513,836000,view,4387,
1430687043493,2326,view,286423,
1430687408503,636520,view,31678,
1430687775570,5074,view,23099,
1430687978990,1009297,view,373358,
1430688058751,424261,view,421578,
1430688078482,1377305,view,151618,
1430688331163,514963,view,366732,
1430688597428,120249,view,185174,
1430689366195,53842,addtocart,420528,
1430689639873,710338,view,161453,
1430689731594,10703,view,64813,
1430689767361,811096,view,29983,
1430689783360,982481,view,378637,
1430690337599,408058,view,112848,
1430690538536,724123,view,268870,
1430690805095,1200440,view,432609,
1430690889332,899722,view,179866,
1430690934726,1111751,view,235475,
1430691457810,369729,view,18063,
1430691619483,1227841,addtocart,462376,
1430692343205,53842,view,51448,
1430692374600,775583,view,441322,
1430692464558,322850,view,217765,
1430692696246,585093,view,94109,
1430692793487,585093,view,359309,
1430692886549,1102166,view,227076,
1430692978317,94012,view,228576,
1430692982849,662230,view,328002,
1430693080198,679439,view,377396,
1430693302984,278397,view,206216,
1430693309926,300826,view,281366,
1430693378124,53842,transaction,90360,5875.0
1430693394076,1320310,view,292739,
1430693634456,1233427,view,338068,
1430693706240,1331067,view,409452,
1430693932692,2337,view,218126,
1430694096931,823221,view,309367,
1430694157621,306057,view,457278,
1430694254062,961045,view,39101,
1430694681906,1086128,view,35211,
1430694865917,19688,view,312428,
1430695185914,720530,view,238448,
1430695276149,6330,view,405507,
1430695326511,1269184,view,220381,
1430695762702,1348970,view,370653,
1430695940252,69472,view,389158,
1430696025734,133952,view,81395,
1430696136741,576241,view,420360,
1430696147925,760979,view,133224,
1430696929551,952441,view,107367,
1430696960072,334901,view,181811,
1430697425544,935325,view,325135,
1430697566805,1272225,view,308741,
1430697599862,1079638,view,351961,
1430697812803,1146799,view,292420,
1430697922879,859193,view,28941,
1430697938234,1033936,view,439891,
1430697981682,895420,view,75075,
1430698229684,94289,view,114238,
1430698445635,932151,view,102525,
1430698769661,1216141,view,239316,
1430698814363,640110,view,14296,
1430698979153,460412,view,197852,
1430699128336,1236036,view,135856,
1430699339220,537439,view,184114,
1430699454146,168289,view,61298,
1430699688583,869332,view,115805,
1430700011537,55174,view,413166,
1430700096288,951247,view,201429,
1430700295282,908338,view,40637,
1430700536715,593318,view,351283,
1430700682618,1151692,view,325209,
1430700720084,510144,view,44054,
1430700788928,1089618,view,48794,
1430700815460,510144,view,301949,
1430700935928,175304,view,322666,
1430700945000,1271199,addtocart,274710,
1430701144981,996180,view,91522,
1430701190440,163561,addtocart,37254,
1430701490788,61449,view,99961,
1430701841617,235341,view,163104,
1430701872180,288244,view,126187,
1430702119691,214117,view,352634,
1430702263006,247730,view,391046,
1430702282817,688113,view,244571,
1430702373507,80118,view,413523,
1430702433229,717269,view,410889,
1430702496624,1197182,view,418729,
1430702567501,637405,view,465216,
1430702795963,403162,view,316696,
1430703551459,1097755,view,386785,
1430703711266,98697,view,157879,
1430704069887,764498,view,255725,
1430704203336,598607,view,227161,
1430704513996,733181,addtocart,440677,
1430704579282,68580,view,344848,
1430704649257,1374802,view,175215,
1430704675171,1304637,view,9817,
1430704817728,1096830,view,342691,
1430704933707,711362,view,319901,
1430704945277,754524,view,353482,
1430705438568,433131,view,53223,
1430705559135,1387926,view,60229,
1430705721470,518713,view,95730,
1430705790056,1383021,view,226952,
1430705930963,563821,view,43447,
1430706192759,100774,view,369197,
1430706369618,1124620,view,44054,
1430706545088,401020,view,462467,
1430707148336,1204749,view,464218,
1430707292903,1120868,view,226950,
1430707486466,1387583,view,447409,
1430707679043,1220824,view,83045,
1430707887429,1396840,view,144299,
1430708303841,900624,view,433594,
1430708597472,370231,view,162239,
1430708737534,853622,view,280946,
1430709026588,442165,view,154451,
1430709056922,442165,view,420165,
1430709206512,1378754,view,114806,
1430709417399,1160960,view,115696,
1430710012862,241946,view,255145,
1430710075282,223001,view,281487,
1430710214360,1375673,view,709,
1430710273388,975039,view,330028,
1430710706145,851504,view,284654,
1430710734842,713863,view,170498,
1430710915063,812004,view,177555,
1430710960065,208612,view,198381,
1430711271580,179680,view,395451,
1430711273163,216425,view,159200,
1430711620488,155949,view,379301,
1430711715251,1274495,view,48008,
1430711744209,162117,view,4613,
1430711775755,1277957,view,237422,
1430711880059,977763,view,359375,
1430712005635,1153894,view,30683,
1430712297641,474790,view,51360,
1430712332806,525295,view,421874,
1430712396126,220650,view,139479,
1430712398968,429824,view,389203,
1430712511166,1197044,view,101094,
1430712643099,127457,view,111530,
1430712665927,722375,view,105341,
1430712740080,982871,view,20373,
1430712915903,667080,view,250901,
1430713591862,1335892,view,200963,
1430713644856,364932,view,320130,
1430713746277,1318425,view,357585,
1430713821978,1331403,view,350528,
1430714029454,406369,view,414460,
1430714232731,221149,view,137530,
1430714363190,1332669,view,39048,
1430714543292,659785,view,287739,
1430715055536,1132010,view,209887,
1430715174722,698730,view,35850,
1430715496105,1100448,view,349123,
1430715623876,514277,view,29173,
1430715645663,481958,view,153907,
1430715647493,1155309,view,464474,
1430715804062,1350638,view,314824,
1430715855934,634069,view,394441,
1430716252328,849271,view,96849,
1430716779736,199231,view,51174,
1430716900318,45634,view,95974,
1430717011317,471519,view,234459,
1430717109917,1400562,view,269916,
1430717245366,938459,view,190826,
1430717500706,853394,view,455869,
1430717567421,407778,view,80622,
1430717584973,318506,view,115696,
1430717641962,155812,view,360392,
1430717775894,814591,view,320786,
1430717834957,692650,view,85914,
1430718087698,266280,view,38582,
1430718159406,845279,view,219718,
1430718247089,1238150,view,178927,
1430718355100,471519,view,266717,
1430718368882,1204914,view,351702,
1430718642263,880680,view,93382,
1430718659202,880680,view,15697,
1430718792123,390502,view,440656,
1430718814405,870425,view,347132,
1430718894027,785130,view,327111,
1430718908719,870425,view,159956,
1430719552074,531114,view,384214,
1430719749471,242679,view,111179,
1430720414234,155812,view,224829,
1430720580203,522891,view,71843,
1430720832046,104550,view,311929,
1430721319219,1197542,view,212109,
1430721562500,878286,view,347554,
1430722055094,1126879,view,433992,
1430725541937,813827,view,172230,
1430726113139,99946,view,437804,
1430727342494,264926,view,33269,
1430728470673,971479,view,26745,
