timestamp,itemid,property,value
1431226800000,270210,888,1103801 n9420.000 969301
1431226800000,252188,available,0
1431226800000,238408,283,505421 945042 n30.000 530721 1184232 n64807.200
1431226800000,432844,963,371817 n36.000
1431226800000,433564,764,1285872
1431226800000,286116,112,679677
1431226800000,434078,categoryid,1254
1431226800000,154174,283,966188 913216 828550 225976 966188 150169 716637 913216 479251 639502 499744 574612 101432 703408 566292 762880 487760 1035303 30603 567559 1297039 418473 804917 1161933 1335265 30603 117991 827578 150169 23485 1270909 7669 1128577
1431226800000,459141,6,1283144 353870
1431226800000,211114,159,519769
1431226800000,442404,6,769062
1431226800000,289133,364,1179066
1431226800000,58568,888,798214 461903 898004 649732
1431226800000,215285,364,1140903
1431226800000,297094,364,538676
1431226800000,251539,888,456603 n50400.000 1169762 193239
1431226800000,402678,categoryid,642
1431226800000,320320,776,876471
1431226800000,129786,364,580320
1431226800000,361523,790,n8784.000
1431226800000,126707,categoryid,374
1431226800000,151880,283,1190804 191896 360503
1431226800000,264550,764,1285872
1431226800000,305445,917,n960386040.000
1431226800000,365209,364,1102438
1431226800000,15240,available,0
1431226800000,231488,364,28370
1431226800000,439230,888,1215103 62841 1175939
1431226800000,358538,6,1253012
1431226800000,173167,917,1081768
1431226800000,276958,159,519769
1431226800000,267431,112,679677
1431226800000,70791,283,452320 853231 1051267 523115
1431226800000,324514,available,1
1431226800000,107236,776,968163
1431226800000,110278,159,519769
1431226800000,451535,764,1285872
1431226800000,320668,categoryid,320
1431226800000,241847,678,143184 999874
1431226800000,380266,764,1285872
1431226800000,217541,112,679677
1431226800000,141745,112,679677
1431226800000,437525,678,479758 1021001
1431226800000,80687,categoryid,1643
1431226800000,315820,764,1285872
1431226800000,346913,364,873576
1431226800000,309451,678,451192 226980
1431226800000,8896,764,1285872
1431226800000,77285,764,1285872
1431226800000,453270,790,n119880.000
1431226800000,454194,1084,n72.000 628176 n108.000
1431226800000,96125,790,n42360.000
1431226800000,18596,6,1322342 107482
1431226800000,184135,888,411425
1431226800000,129573,888,955164 587211
1431226800000,330551,619,769062
1431226800000,343658,categoryid,69
1431226800000,418614,917,906060
1431226800000,86673,112,679677
1431226800000,379677,categoryid,294
1431226800000,264950,categoryid,1084
1431226800000,117055,790,n155520.000
1431226800000,98329,764,1285872
1431226800000,87974,112,679677
1431226800000,275489,364,104161
1431226800000,333394,764,1285872
1431226800000,29198,480,726612
1431226800000,377172,888,372340
