해당 스프린트,날짜,회의 주제,유형,과정,참석자,주요 내용,강사 피드백
,,컨벤션 및 실행 관련,기타,백엔드,,,
,,설계 관련 메모,기타,백엔드,,,
,,기능 정리 메모,기타,백엔드,,,
Sprint 1,2026년 8월 13일,8/13 데일리스크럼,데일리 스크럼,백엔드,,강사님 피드백,
Sprint 1,2026년 8월 14일,8/14 데일리스크럼,데일리 스크럼,백엔드,,,
Sprint 1,2026년 8월 18일,8/18 데일리스크럼,데일리 스크럼,백엔드,,,
Sprint 1,2026년 8월 19일,8/19 데일리스크럼,데일리 스크럼,백엔드,,,
Sprint 1,2026년 8월 20일,8/20 데일리스크럼,데일리 스크럼,백엔드,,강사님 피드백,
Sprint 1,2026년 8월 21일,8/21 데일리스크럼,데일리 스크럼,백엔드,,,
Sprint 2,2026년 8월 24일,8/24 데일리 스크럼,데일리 스크럼,백엔드,,,
Sprint 2,2026년 8월 25일,8/25 데일리 스크럼,데일리 스크럼,백엔드,,2차 현직자 멘토링,
Sprint 2,2026년 8월 26일,8/26 데일리스크럼,데일리 스크럼,백엔드,,,
Sprint 2,2026년 8월 27일,8/27 데일리스크럼,데일리 스크럼,백엔드,,,
Sprint 2,2026년 8월 28일,8/28 데일리 스크럼,데일리 스크럼,백엔드,,,
Sprint 2,2026년 8월 31일,8/31 데일리스크럼,데일리 스크럼,백엔드,,,
Sprint 2,2026년 9월 1일,9/01 데일리스크럼,데일리 스크럼,백엔드,,,
Sprint 2,2026년 9월 2일,9/02 데일리스크럼,데일리 스크럼,백엔드,,,
Sprint 2,2026년 9월 3일,9/03 데일리스크럼,데일리 스크럼,백엔드,,,
Sprint 2,2026년 9월 4일,9/04 데일리 스크럼,데일리 스크럼,백엔드,,"강사님 피드백,
BE ↔ AI 인터페이스 정의 문서",
Sprint 3,2026년 9월 7일,9/07 데일리 스크럼,데일리 스크럼,백엔드,,,
Sprint 3,2026년 9월 8일,9/08 데일리 스크럼,데일리 스크럼,백엔드,,3차 현직자 멘토링,
Sprint 3,2026년 9월 9일,9/09 데일리 스크럼,데일리 스크럼,백엔드,,,
Sprint 3,2026년 9월 10일,9/10 데일리 스크럼,데일리 스크럼,백엔드,,,
Sprint 3,2026년 9월 11일,9/11 데일리 스크럼,데일리 스크럼,백엔드,,강사님 피드백,
Sprint 3,2026년 9월 14일,9/14 데일리 스크럼,데일리 스크럼,백엔드,,,
Sprint 3,2026년 9월 15일,9/15 데일리 스크럼,데일리 스크럼,백엔드,,로그인 설정,
,,팀장 데일리 스크럼 양식,데일리 스크럼,팀장 데일리 스크럼,파트장,,
,,월요일 팀장 데일리 미팅 양식,데일리 스크럼,팀장 데일리 스크럼,파트장,,
Sprint 1,2026년 8월 5일,킥 오프 미팅 및 아이디에이션,데일리 스크럼,팀장 데일리 스크럼,ALL,,
Sprint 1,2026년 8월 6일,기획안 구체화,데일리 스크럼,팀장 데일리 스크럼,ALL,,
Sprint 1,2026년 8월 13일,0813 오전 데일리 스크럼,데일리 스크럼,팀장 데일리 스크럼,파트장,,
