ID,검토,권한,담당자,대분류,"상세 요구사항(기술, 입출력, 예외, 보안)",소분류,요구사항,우선순위,중분류
,미승인,,노여진,회원,,,회원가입 시 랜덤 닉네임이 자동생성된다.,,
,미승인,,노여진,회원,,,반려동물 사진을 등록할 수 있다.,,
,미승인,,노여진,회원,"  1. 이름
  2. 닉네임
  3. 휴대폰 번호
  4. 생일
  5. 이메일
  6. 환불계좌",개인 프로필,"사용자는 회원정보를 수정할 수 있다.
",,마이페이지
,미승인,,노여진,인증,,,소셜을 통해 회원가입/로그인을 할 수 있다.(구글/카카오),,
,미승인,,노여진,알림,,,타임딜 오픈 예정 탭에서 푸시 알림을 신청한다.,,
,미승인,,노여진,리뷰,전체보기 클릭 시 포토 리뷰 더보기 화면 이동?,,상단에 4개의 리뷰 사진이 노출된다.,,
,미승인,,노여진,리뷰,,,사진 리뷰만 보아볼 수 있다.,,
,미승인,,노여진,리뷰,,,상세 리뷰를 확인할 수 있다.,,
,미승인,,노여진,리뷰,"  종, 체급, 연령, 중성화여부, 건강 관심사",,리뷰 필터를 설정 할 수 있다.,,
,미승인,,노여진,리뷰,"  1. 추천순(기본)
  2. 최신순
  3. 별점 높은순
  4. 별점 낮은순",,"리뷰를 정렬시킬 수 있다.
",,
,미승인,,노여진,리뷰,최대 3장,,리뷰에 사진을 넣을 수 있다.,,
,미승인,,노여진,리뷰,"종, 중성화 여부, 성별, 나이, 활동량, 그 외 특이사항",,각 리뷰에는 작성자의 반려동물 기본 정보가 표시된다.,,
,미승인,,노여진,리뷰,"기호성, 배변, 알레르기, 민감 반응",,리뷰에 키워드 태그 표시를 할 수 있다.,,
,미승인,,노여진,리뷰,최대 300자,,텍스트로 리뷰를 작성할 수 있다.,,
,미승인,,노여진,리뷰,"  1. 사용기간은 사용자가 직접 입력한다.
  2. 만족도
  3. 재구매 횟수",,"각 리뷰에는 사용자 관련 정보가 표시된다.
",,
,미승인,,노여진,리뷰,신고 페이지로 이동,,리뷰를 신고할 수 있다.,,
,미승인,,노여진,리뷰,,,리뷰에 좋아요를 누를 수 있다.,,
,미승인,,노여진,리뷰,,,더보기 클릭 시 전체 리뷰 내용 드롭,,
,미승인,,노여진,회원,,반려동물 프로필,반려동물을 추가할 수 있다.,,
,미승인,,노여진,회원,"  1. 배송지명
  2. 받는사람
  3. 연락처
  4. 주소(주소 검색 화면 API 연동)
  5. 상세 주소 입력
  6. 기본배송지여부",배송지,"배송지를 추가/수정/삭제 할 수 있다.
",,마이페이지
,미승인,,노여진,회원,ㅇ음.. 선택안함/직접입력/문앞에놓아주세요/부재시연락/배송전미리연락.,,배송 전달사항,,
,미승인,,노여진,회원,,,사용자는 회원 탈퇴를 할 수 있다.,,
,미승인,,노여진,인증,,,로그아웃을 할 수 있다.,,
,미승인,,노여진,리뷰,,,리뷰는 작성된 순서대로 나열된다.,,
,미승인,,노여진,리뷰,"내 반려동물과 비슷한 리뷰만 보기 필터 클릭 시
종, 연령, 체급, 중성화, 건강관심사에 가중치 부여
AI에서 맡기?",,"내 반려 동물과 비슷한 리뷰만 볼 수 있다.
",,
