기능명 (페이지),Function ID,기능 짧은 desciption,기능그룹,상위 항목,상태,세부 그룹,우선순위/논의 사항,하위 항목,확인필요
상품 카테고리 필터 탭,,상단 카테고리/상품 필터 선택 시 해당 조건에 맞는 상품 목록 제공 (탭 형태),메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,상단 카테고리 필터,매우높음(1순위),,
,,,,메인 네비게이션 내 좋아요 화면 (%EB%A9%94%EC%9D%B8%20%EB%84%A4%EB%B9%84%EA%B2%8C%EC%9D%B4%EC%85%98%20%EB%82%B4%20%EC%A2%8B%EC%95%84%EC%9A%94%20%ED%99%94%EB%A9%B4%208777659d7db7825298fe8169baa0dcb1.csv),,,,,
기본이미지,,,온보딩|회원관리,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2022e7659d7db783c89e2801344978190e.csv),,기본이미지,,,
Empty View,,,검색,검색 페이지 (%EA%B2%80%EC%83%89%20%ED%8E%98%EC%9D%B4%EC%A7%80%202867659d7db782c9a29881c3101fdd93.csv),,최근 검색어 없을 시,낮음(4순위),,
반려동물 프로필 추가,,프로필 영역의 ‘추가’ 버튼을 누르는 경우,메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,프로필 영역,,,
상품 상세 페이지 (공통),,,상품 상세,,,,매우높음(1순위),"상품 기본 정보 조회 (상단) (%EC%83%81%ED%92%88%20%EA%B8%B0%EB%B3%B8%20%EC%A0%95%EB%B3%B4%20%EC%A1%B0%ED%9A%8C%20(%EC%83%81%EB%8B%A8)%20c717659d7db782b488780190efb8152b.csv), 경로/상품 특징에 따른 추가 정보 (%EA%B2%BD%EB%A1%9C%20%EC%83%81%ED%92%88%20%ED%8A%B9%EC%A7%95%EC%97%90%20%EB%94%B0%EB%A5%B8%20%EC%B6%94%EA%B0%80%20%EC%A0%95%EB%B3%B4%20ae67659d7db782eb99b281567b86f649.csv), 상품 공유 버튼 (%EC%83%81%ED%92%88%20%EA%B3%B5%EC%9C%A0%20%EB%B2%84%ED%8A%BC%2071c7659d7db782069170817f7deb56c4.csv), 상품 비교 버튼 (%EC%83%81%ED%92%88%20%EB%B9%84%EA%B5%90%20%EB%B2%84%ED%8A%BC%2081b7659d7db782118d7401c113636490.csv), 상품 배송 정보 (%EC%83%81%ED%92%88%20%EB%B0%B0%EC%86%A1%20%EC%A0%95%EB%B3%B4%20f567659d7db78245835201bb3dccc81a.csv), 반려동물 프로필 (%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%ED%94%84%EB%A1%9C%ED%95%84%20bb37659d7db783d58ead81bec1d41870.csv), 함께 보면 좋은 상품 (%ED%95%A8%EA%BB%98%20%EB%B3%B4%EB%A9%B4%20%EC%A2%8B%EC%9D%80%20%EC%83%81%ED%92%88%203147659d7db7834a85ca013aabf45cf9.csv), 상품정보Tab 상품 상세정보 조회  (%EC%83%81%ED%92%88%EC%A0%95%EB%B3%B4Tab%20%EC%83%81%ED%92%88%20%EC%83%81%EC%84%B8%EC%A0%95%EB%B3%B4%20%EC%A1%B0%ED%9A%8C%20d017659d7db7833a90d881ca1b3c17be.csv), 리뷰 조회 (%EB%A6%AC%EB%B7%B0%20%EC%A1%B0%ED%9A%8C%20bd67659d7db783968a9f0188e8d173ba.csv), Q&A 탭 (Q&A%20%ED%83%AD%207367659d7db782318ac401983c247c4b.csv), 장바구니, 바로구매, 좋아요 버튼 (%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88,%20%EB%B0%94%EB%A1%9C%EA%B5%AC%EB%A7%A4,%20%EC%A2%8B%EC%95%84%EC%9A%94%20%EB%B2%84%ED%8A%BC%209c17659d7db78360a714819731cf8346.csv), 옵션 선택 바텀시트 (%EC%98%B5%EC%85%98%20%EC%84%A0%ED%83%9D%20%EB%B0%94%ED%85%80%EC%8B%9C%ED%8A%B8%205037659d7db78341b5c681c11958f360.csv), 재입고 알림 신청 (%EC%9E%AC%EC%9E%85%EA%B3%A0%20%EC%95%8C%EB%A6%BC%20%EC%8B%A0%EC%B2%AD%209e17659d7db7822f977781fceb4d5604.csv)",
배너 조회,,메인 배너 영역에 프로모션 또는 콘텐츠 배너 노출,메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,배너 광고,보통(3순위),,
추천 상품 상세 진입,,추천 상품 상세 정보 조회 - 상품 상세 참고,상품 추천,상품 추천 페이지  (%EC%83%81%ED%92%88%20%EC%B6%94%EC%B2%9C%20%ED%8E%98%EC%9D%B4%EC%A7%80%207eb7659d7db7827c8ec80149fc558d78.csv),,추천 상품,매우높음(1순위),,
반려동물 프로필,,상단 현재 고정된 반려 동물 프로필 영역,메인화면,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%20ed87659d7db78231becb8149a3180ae4.csv),,프로필 영역,매우높음(1순위),,
상품 나열,,좋아요 화면,좋아요,메인 네비게이션 내 좋아요 화면 (%EB%A9%94%EC%9D%B8%20%EB%84%A4%EB%B9%84%EA%B2%8C%EC%9D%B4%EC%85%98%20%EB%82%B4%20%EC%A2%8B%EC%95%84%EC%9A%94%20%ED%99%94%EB%A9%B4%208777659d7db7825298fe8169baa0dcb1.csv),,상품 나열,보통(3순위),,
