기능명 (페이지),Function ID,기능 짧은 desciption,기능그룹,논의 필요,상위 항목,상태,세부 그룹,우선순위,하위 항목
"주문/배송 내역 진입 ",,터치 시 '마이페이지_주문/배송 내역 화면'으로 이동,마이페이지홈,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2029d7659d7db783219f6a8199936c63eb.csv),,홈,매우높음(1순위),
주문 취소,,,주문관리,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%202cb7659d7db782e29d10012cd6a587b2.csv),,주문 관리,매우높음(1순위),
결제 수단 관리 진입,,,마이페이지홈,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2029d7659d7db783219f6a8199936c63eb.csv),,홈,매우높음(1순위),
,,,마이페이지홈,,,,,,"알림 화면 진입 (%EC%95%8C%EB%A6%BC%20%ED%99%94%EB%A9%B4%20%EC%A7%84%EC%9E%85%20b3c7659d7db783c1a2ca81762d742d8a.csv), 장바구니 화면 진입 (%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88%20%ED%99%94%EB%A9%B4%20%EC%A7%84%EC%9E%85%207137659d7db7830aba368176b129d6f2.csv), 내 정보 관리 진입 (%EB%82%B4%20%EC%A0%95%EB%B3%B4%20%EA%B4%80%EB%A6%AC%20%EC%A7%84%EC%9E%85%209a27659d7db783ca9c5901ac5bd78c49.csv), 반려동물 프로필 조회 (%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%ED%94%84%EB%A1%9C%ED%95%84%20%EC%A1%B0%ED%9A%8C%200227659d7db782d3b5b3013f73d79469.csv), 반려동물 프로필 이동 (%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%ED%94%84%EB%A1%9C%ED%95%84%20%EC%9D%B4%EB%8F%99%20b777659d7db78362a0d601e6d6f1ee26.csv), 반려동물 프로필 추가 (%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC%20%ED%94%84%EB%A1%9C%ED%95%84%20%EC%B6%94%EA%B0%80%209107659d7db783868e45012bc8f93f37.csv), 재입고 알림 진입 (%EC%9E%AC%EC%9E%85%EA%B3%A0%20%EC%95%8C%EB%A6%BC%20%EC%A7%84%EC%9E%85%2071d7659d7db783e09b5b8140a84f0081.csv), 나의 상품 후기 진입 (%EB%82%98%EC%9D%98%20%EC%83%81%ED%92%88%20%ED%9B%84%EA%B8%B0%20%EC%A7%84%EC%9E%85%20ffe7659d7db7830db3dd81524abeb6cb.csv), 결제 수단 관리 진입 (%EA%B2%B0%EC%A0%9C%20%EC%88%98%EB%8B%A8%20%EA%B4%80%EB%A6%AC%20%EC%A7%84%EC%9E%85%200f67659d7db78281955a013bd26428f2.csv), 주문/배송 내역 진입  (%EC%A3%BC%EB%AC%B8%20%EB%B0%B0%EC%86%A1%20%EB%82%B4%EC%97%AD%20%EC%A7%84%EC%9E%85%20afc7659d7db78280a9a081d201a81b72.csv), 고객센터 진입 (%EA%B3%A0%EA%B0%9D%EC%84%BC%ED%84%B0%20%EC%A7%84%EC%9E%85%20ff17659d7db78203861301bc0169c3dc.csv), 서비스 안내 진입 (%EC%84%9C%EB%B9%84%EC%8A%A4%20%EC%95%88%EB%82%B4%20%EC%A7%84%EC%9E%85%20bf87659d7db7826698bc014ccf0eadc3.csv), 설정 진입 (%EC%84%A4%EC%A0%95%20%EC%A7%84%EC%9E%85%20a197659d7db78300925001b95c76ff0c.csv)"
반품/교환,,,주문관리,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%202cb7659d7db782e29d10012cd6a587b2.csv),,주문 관리,매우높음(1순위),
알림 화면 진입,,터치 시 '마이페이지_알림 화면'으로 이동,마이페이지홈,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2029d7659d7db783219f6a8199936c63eb.csv),,홈,보통(3순위),
,,,리뷰 관리,,,,,,"작성한 리뷰 상세 조회 (%EC%9E%91%EC%84%B1%ED%95%9C%20%EB%A6%AC%EB%B7%B0%20%EC%83%81%EC%84%B8%20%EC%A1%B0%ED%9A%8C%208287659d7db78256a0088104f5b1f745.csv), 작성한 리뷰 조회 (%EC%9E%91%EC%84%B1%ED%95%9C%20%EB%A6%AC%EB%B7%B0%20%EC%A1%B0%ED%9A%8C%20e4b7659d7db783f498ac81bcf8b011d9.csv), 리뷰 작성 (%EB%A6%AC%EB%B7%B0%20%EC%9E%91%EC%84%B1%204327659d7db78363937681dded9fa25d.csv), 작성 가능 리뷰 조회 (%EC%9E%91%EC%84%B1%20%EA%B0%80%EB%8A%A5%20%EB%A6%AC%EB%B7%B0%20%EC%A1%B0%ED%9A%8C%202047659d7db783eb9c07810cbcacb8fc.csv)"
,,,기타 활동/ 지원,,,,,,"최근 본 상품 조회 (%EC%B5%9C%EA%B7%BC%20%EB%B3%B8%20%EC%83%81%ED%92%88%20%EC%A1%B0%ED%9A%8C%2099e7659d7db7833ead9c81358236b4d3.csv), 알림 목록 조회 (%EC%95%8C%EB%A6%BC%20%EB%AA%A9%EB%A1%9D%20%EC%A1%B0%ED%9A%8C%202577659d7db78359a62381ebcac4dca6.csv), 알림 상세 화면 이동 (%EC%95%8C%EB%A6%BC%20%EC%83%81%EC%84%B8%20%ED%99%94%EB%A9%B4%20%EC%9D%B4%EB%8F%99%201e37659d7db7833394b8815a2c34c8a0.csv), 1:1 문의 내역 조회 (1%201%20%EB%AC%B8%EC%9D%98%20%EB%82%B4%EC%97%AD%20%EC%A1%B0%ED%9A%8C%20e5d7659d7db783ad8c6c0158c15cb6d6.csv), 1:1 문의 작성 (1%201%20%EB%AC%B8%EC%9D%98%20%EC%9E%91%EC%84%B1%20b9d7659d7db78372b7d4015a1911df25.csv), 서비스 이용약관 조회 (%EC%84%9C%EB%B9%84%EC%8A%A4%20%EC%9D%B4%EC%9A%A9%EC%95%BD%EA%B4%80%20%EC%A1%B0%ED%9A%8C%20fd07659d7db782f39b5781b107d78705.csv), 마케팅 정보 수신 약관 조회 (%EB%A7%88%EC%BC%80%ED%8C%85%20%EC%A0%95%EB%B3%B4%20%EC%88%98%EC%8B%A0%20%EC%95%BD%EA%B4%80%20%EC%A1%B0%ED%9A%8C%208a87659d7db783c8a429818619a76cae.csv), 개인 정보 처리 방침 조회 (%EA%B0%9C%EC%9D%B8%20%EC%A0%95%EB%B3%B4%20%EC%B2%98%EB%A6%AC%20%EB%B0%A9%EC%B9%A8%20%EC%A1%B0%ED%9A%8C%207bf7659d7db78255bdaf816a346cd0c7.csv), 알림 설정 (%EC%95%8C%EB%A6%BC%20%EC%84%A4%EC%A0%95%20a237659d7db783d0805a01e0db333538.csv), 테마 설정 (%ED%85%8C%EB%A7%88%20%EC%84%A4%EC%A0%95%200777659d7db78286bd4401f2a165547c.csv)"
장바구니 화면 진입,,터치 시 '마이페이지_장바구니 화면'으로 이동,마이페이지홈,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2029d7659d7db783219f6a8199936c63eb.csv),,홈,매우높음(1순위),
테마 설정,,,기타 활동/ 지원,"PD 논의, 논의 완료",제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%206e17659d7db782aa848d01f27df78a4f.csv),,설정,논의필요,
