기능그룹,세부 그룹,기능명 (페이지),기능 짧은 desciption,논의 필요,우선순위,상태,Function ID
로그인,로그인,관리자 로그인,터치 시 아이디/비밀번호 인증 후 타임딜 관리 화면으로 이동,,매우높음(1순위),,
타임딜,,,,,,,
타임딜,타임딜 결과 리포트,리포트 다운로드,터치 시 리포트를 CSV/엑셀 파일로 다운로드,,매우낮음(5순위),,
타임딜,타임딜 결과 리포트,상품별 최종 판매량/소진율 조회,딜 종료 후 상품별 최종 판매량과 소진율을 리스트로 표시,,매우낮음(5순위),,
타임딜,타임딜 결과 리포트,핵심 성과 지표 조회,종료된 딜의 총 매출·전환율·동시 접속자·유입수 지표 표시,,매우낮음(5순위),,
타임딜,타임딜 상세/수정,수정 저장,터치 시 변경된 필드 값을 유효성 검사 후 저장,,낮음(4순위),,
타임딜,타임딜 상세/수정,딜 중단,터치 시 확인 팝업 후 진행중 딜을 즉시 종료,,보통(3순위),,
타임딜,타임딜 상세/수정,실시간 판매 현황 조회,진행중 상태에서 상품별 판매/잔여 수량을 실시간 표시,,낮음(4순위),,
타임딜,타임딜 상세/수정,필드 프리필 및 상태별 수정 제한,저장된 딜을 상태에 따라 전체/일부 필드 수정 가능 여부 분기,,낮음(4순위),,
타임딜,타임딜 등록,임시저장 / 등록,터치 시 입력값을 임시 저장하거나 유효성 검사 후 딜을 등록,,매우높음(1순위),,
타임딜,타임딜 등록,구매 제한 정책 설정,1인당 구매 수량/상품 종류 수 제한 및 정책 안내 문구 입력,,보통(3순위),,
타임딜,타임딜 등록,상품별 판매 조건 설정,선택 상품별 한정 수량·할인율 입력 시 할인가 자동 계산,,매우높음(1순위),,
타임딜,타임딜 등록,대상 상품 추가/제거,터치 시 상품을 선택 리스트에 추가하거나 리스트에서 제거,,높음(2순위),,
타임딜,타임딜 등록,대상 상품 검색/필터,"카테고리 검색, 필터, 선정 기준으로 대상 상품 후보 조회",,높음(2순위),,
타임딜,타임딜 등록,기본 정보 입력,"딜 이름, 시작 일시, 진행 시간 입력 시 종료 일시 자동 계산",,매우높음(1순위),,
타임딜,타임딜 관리,딜 목록 조회 및 이동,터치 시 딜 상태에 따라 상세/수정 또는 결과 리포트 화면으로 이동,,높음(2순위),,
타임딜,타임딜 관리,타임딜 정렬,터치 시 선택한 기준으로 목록 정렬 변경,,매우높음(1순위),,
타임딜,타임딜 관리,상태 필터,터치 시 선택 상태에 해당하는 딜만 목록에 필터링 표시,,보통(3순위),,
타임딜,타임딜 관리,신규 딜 등록,터치 시 타임딜 등록 화면으로 이동,,매우높음(1순위),,
