기능명 (페이지),Function ID,기능 짧은 desciption,기능그룹,논의 필요,상위 항목,상태,세부 그룹,우선순위,하위 항목
구매 제한 정책 설정,,1인당 구매 수량/상품 종류 수 제한 및 정책 안내 문구 입력,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 등록,보통(3순위),
관리자 로그인,,터치 시 아이디/비밀번호 인증 후 타임딜 관리 화면으로 이동,로그인,,,,로그인,매우높음(1순위),
상품별 판매 조건 설정,,선택 상품별 한정 수량·할인율 입력 시 할인가 자동 계산,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 등록,매우높음(1순위),
,,,타임딜,,,,,,"신규 딜 등록 (%EC%8B%A0%EA%B7%9C%20%EB%94%9C%20%EB%93%B1%EB%A1%9D%20b6f7659d7db7838b9f44818e7c2d4440.csv), 상태 필터 (%EC%83%81%ED%83%9C%20%ED%95%84%ED%84%B0%205ef7659d7db782bfbb3881cff22c6a1c.csv), 타임딜 정렬 (%ED%83%80%EC%9E%84%EB%94%9C%20%EC%A0%95%EB%A0%AC%200c67659d7db78284ab9b0105bb274a8e.csv), 딜 목록 조회 및 이동 (%EB%94%9C%20%EB%AA%A9%EB%A1%9D%20%EC%A1%B0%ED%9A%8C%20%EB%B0%8F%20%EC%9D%B4%EB%8F%99%2013a7659d7db783f4b5d201f961591235.csv), 기본 정보 입력 (%EA%B8%B0%EB%B3%B8%20%EC%A0%95%EB%B3%B4%20%EC%9E%85%EB%A0%A5%20ddc7659d7db782b6bc0c81dcf92e4e70.csv), 대상 상품 검색/필터 (%EB%8C%80%EC%83%81%20%EC%83%81%ED%92%88%20%EA%B2%80%EC%83%89%20%ED%95%84%ED%84%B0%205ef7659d7db78343b1c58192fad549a9.csv), 대상 상품 추가/제거 (%EB%8C%80%EC%83%81%20%EC%83%81%ED%92%88%20%EC%B6%94%EA%B0%80%20%EC%A0%9C%EA%B1%B0%20aca7659d7db782f99ed881a47e387578.csv), 상품별 판매 조건 설정 (%EC%83%81%ED%92%88%EB%B3%84%20%ED%8C%90%EB%A7%A4%20%EC%A1%B0%EA%B1%B4%20%EC%84%A4%EC%A0%95%20dac7659d7db783fba48601ad2de402a0.csv), 구매 제한 정책 설정 (%EA%B5%AC%EB%A7%A4%20%EC%A0%9C%ED%95%9C%20%EC%A0%95%EC%B1%85%20%EC%84%A4%EC%A0%95%20fca7659d7db7820388c281365c1b74fd.csv), 임시저장 / 등록 (%EC%9E%84%EC%8B%9C%EC%A0%80%EC%9E%A5%20%EB%93%B1%EB%A1%9D%20aa97659d7db78395bd8a81d5953a76db.csv), 필드 프리필 및 상태별 수정 제한 (%ED%95%84%EB%93%9C%20%ED%94%84%EB%A6%AC%ED%95%84%20%EB%B0%8F%20%EC%83%81%ED%83%9C%EB%B3%84%20%EC%88%98%EC%A0%95%20%EC%A0%9C%ED%95%9C%201937659d7db783998e79016679771bf6.csv), 실시간 판매 현황 조회 (%EC%8B%A4%EC%8B%9C%EA%B0%84%20%ED%8C%90%EB%A7%A4%20%ED%98%84%ED%99%A9%20%EC%A1%B0%ED%9A%8C%208827659d7db7834da72f81aab227f213.csv), 딜 중단 (%EB%94%9C%20%EC%A4%91%EB%8B%A8%201e17659d7db783aa8477819ee9318e92.csv), 수정 저장 (%EC%88%98%EC%A0%95%20%EC%A0%80%EC%9E%A5%2024a7659d7db78376b27401ca3771a21a.csv), 핵심 성과 지표 조회 (%ED%95%B5%EC%8B%AC%20%EC%84%B1%EA%B3%BC%20%EC%A7%80%ED%91%9C%20%EC%A1%B0%ED%9A%8C%2065a7659d7db782c69ea1013007dd4ffe.csv), 상품별 최종 판매량/소진율 조회 (%EC%83%81%ED%92%88%EB%B3%84%20%EC%B5%9C%EC%A2%85%20%ED%8C%90%EB%A7%A4%EB%9F%89%20%EC%86%8C%EC%A7%84%EC%9C%A8%20%EC%A1%B0%ED%9A%8C%20bb27659d7db78226a58181c810faf960.csv), 리포트 다운로드 (%EB%A6%AC%ED%8F%AC%ED%8A%B8%20%EB%8B%A4%EC%9A%B4%EB%A1%9C%EB%93%9C%204217659d7db782b6b54f01146afc9a10.csv)"
대상 상품 추가/제거,,터치 시 상품을 선택 리스트에 추가하거나 리스트에서 제거,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 등록,높음(2순위),
리포트 다운로드,,터치 시 리포트를 CSV/엑셀 파일로 다운로드,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 결과 리포트,매우낮음(5순위),
대상 상품 검색/필터,,"카테고리 검색, 필터, 선정 기준으로 대상 상품 후보 조회",타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 등록,높음(2순위),
상품별 최종 판매량/소진율 조회,,딜 종료 후 상품별 최종 판매량과 소진율을 리스트로 표시,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 결과 리포트,매우낮음(5순위),
기본 정보 입력,,"딜 이름, 시작 일시, 진행 시간 입력 시 종료 일시 자동 계산",타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 등록,매우높음(1순위),
핵심 성과 지표 조회,,종료된 딜의 총 매출·전환율·동시 접속자·유입수 지표 표시,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 결과 리포트,매우낮음(5순위),
딜 목록 조회 및 이동,,터치 시 딜 상태에 따라 상세/수정 또는 결과 리포트 화면으로 이동,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 관리,높음(2순위),
수정 저장,,터치 시 변경된 필드 값을 유효성 검사 후 저장,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 상세/수정,낮음(4순위),
타임딜 정렬,,터치 시 선택한 기준으로 목록 정렬 변경,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 관리,매우높음(1순위),
딜 중단,,터치 시 확인 팝업 후 진행중 딜을 즉시 종료,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 상세/수정,보통(3순위),
상태 필터,,터치 시 선택 상태에 해당하는 딜만 목록에 필터링 표시,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 관리,보통(3순위),
실시간 판매 현황 조회,,진행중 상태에서 상품별 판매/잔여 수량을 실시간 표시,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 상세/수정,낮음(4순위),
신규 딜 등록,,터치 시 타임딜 등록 화면으로 이동,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 관리,매우높음(1순위),
필드 프리필 및 상태별 수정 제한,,저장된 딜을 상태에 따라 전체/일부 필드 수정 가능 여부 분기,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 상세/수정,낮음(4순위),
임시저장 / 등록,,터치 시 입력값을 임시 저장하거나 유효성 검사 후 딜을 등록,타임딜,,제목 없음 (%EC%A0%9C%EB%AA%A9%20%EC%97%86%EC%9D%8C%2015d7659d7db7827f91b481fe08052526.csv),,타임딜 등록,매우높음(1순위),
